q,WordIndex,wordForm,Lemma,POS,DepRelation,DepType,PhonePattern,SyllableNumber,WordCharacter,POS type (functional/content),ConstituencyParsing,ConstituencyNumberOfNodes,CVCC Count,CVC Count,CV Count
1,1,در,در,E-,15,VMOD,CVC,1,2,f,(ROOT (S (VPA (PPC (E------- *),5,0,1,0
1,2,حدود,***not found***حدود***Dgps--z
1,3,هزار,هزار,Urns---,4,NUM,CVCVC,2,4,f,(Urns----- *))),1,0,1,1
1,4,سال,سال,Ncspt--,1,POBJ,CVC,1,3,c,(VPS (NPA (NPA (Ncspt----- *),4,0,1,0
1,5,پیش,***not found***پیش***Dgp-t--
1,6,،,،,Oc,1,PUNC,،,1,1,f,(Oc *)),1,0,0,1
1,7,در,در,E-,15,VMOD,CVC,1,2,f,(VPA (MADV (NUM (E------- *),4,0,1,0
1,8,یکی,یکی,Urns-y-,12,NUM,CVCCV,2,3,f,(Urns---y- *),1,0,1,1
1,9,از,از,E-,8,MWE,CVC,1,2,f,(NUM (E------- *),2,0,1,0
1,10,شهرهای,شهر,Nclpk-z,9,POBJ,CVCCVCV,3,6,c,(Nclpk---z- *),1,0,1,2
1,11,ایران,ایران,Naspk--,10,POSSESSIVE,CVCVC,2,5,c,(Naspk----- *),1,0,1,1
1,12,پسری,پسر,Ncsp--y,7,POBJ,CVCVCC,3,4,c,(Ncsp----y- *))),1,1,0,1
1,13,به,به,E-,15,MWE,CV,1,2,f,(E------- *)),1,0,0,1
1,14,دنیا,دنیا,Ncsp---,13,POBJ,CVCCV,2,4,c,(MV (Ncsp------ *),2,0,1,1
1,15,آمد,آمدن,Vpyssht----,0,ROOT,CVCVC,2,3,c,(Vpys-sht------ *))))),1,0,1,1
1,16,.,.,Oe,15,PUNC,.,1,1,f,(Oe *))) ,1,0,0,1
2,1,مادرش,مادر,Ncsp----3-,8,NSUBJ,CVCVCVC,3,5,c,(ROOT (S (VPS (NPC (NPC (Ncsp------ *),6,0,1,2
2,2,نام,نام,Ncsp--z,8,DOBJ,CVCV,2,3,c,(Cez--nshc *)),1,0,0,2
2,3,او,***not found***او***Zrsh----
2,4,را,را,P,2,ACC,CV,1,2,f,(VPC (NPC (Zrsh---- *),3,0,0,1
2,5,&quot;,***not found***&quot;***Naspf--
2,6,حسین,حسین,Nasp--z,5,NN,CVCVCCV,3,4,c,(MV (MV (PPC (Naspf----- *),4,0,1,2
2,7,&quot;,***not found***&quot;***Nasp---
2,8,گذاشت,گذاشتن,Vpyssht----,0,ROOT,CVCVCC,2,5,c,(Nasp------ *)),1,1,0,1
2,9,.,.,Oe,8,PUNC,.,1,1,f,(Vpys-sht------ *)))),1,0,0,1
3,1,حسین,حسین,Nasp---,8,NSUBJ,CVCVCC,2,4,c,(ROOT (S (NPA (Nasp------ *),4,1,0,1
3,2,از,از,E-,8,VMOD,CVC,1,2,f,(NPA (E------- *),2,0,1,0
3,3,پنج,پنج,Urns---,5,NUM,CVCC,1,3,f,(ADJPA (NUM (Urns----- *),3,1,0,0
3,4,سالگی,***not found***سالگی***Snl--
3,5,شروع,شروع,Ncsp---,2,POBJ,CVCVC,2,4,c,(Ncsp------ *),1,0,1,1
3,6,به,به,E-,8,MWE,CV,1,2,f,(E------- *),1,0,0,1
3,7,درس,درس,Ncsp---,6,POBJ,CVCC,1,3,c,(Ncsp------ *)),1,1,0,0
3,8,خواندن,خواندن,Vp-is------,0,ROOT,CVCCCV,2,6,c,(Vp-i-s-------- *))),1,1,0,1
3,9,کرد,کردن,Vpyssht----,8,MWE,CVCC,1,3,c,(Vpys-sht------ *)),1,1,0,0
3,10,.,.,Oe,8,PUNC,.,1,1,f,(Oe *))) ,1,0,0,1
4,1,او,***not found***او***Zrsh----
4,2,با,با,E-,6,IDOBJ,CV,1,2,f,(VPA (MADV (NUM (E------- *),4,0,0,1
4,3,علاقه,علاقه,Ncsp--z,2,POBJ,CVCVCVV,4,5,c,(Ncsp----z- *),1,0,0,2
4,4,بسیار,بسیار,Aps-,3,NMOD,CVCCVC,2,5,c,(NUM (As--- *),2,0,2,0
4,5,درس,درس,Ncsp---,6,MWE,CVCC,1,3,c,(Ncsp------ *),1,1,0,0
4,6,خواند,خواندن,Vpyssht----,7,VerbCOOR,CVCC,1,5,c,(Vpys-sht------ *),1,1,0,0
4,7,و,و,Jr-,0,ROOT,CV,1,1,f,(Jr------- *))),1,0,0,1
4,8,به-سرعت,***not found***به-سرعت***Dgps---
4,9,پیشرفت,پیشرفت,Ncsp---,10,MWE,CVCCVCC,2,6,c,(MV (Ncsp------ *),2,1,1,0
4,10,کرد,کردن,Vpyssht----,7,VerbCOOR,CVCC,1,3,c,(Vpys-sht------ *)))),1,1,0,0
4,11,.,.,Oe,7,PUNC,.,1,1,f,(Oe *))) ,1,0,0,1
5,1,کتاب,کتاب,Ncsp---,8,DOBJ,CVCVC,2,4,c,(ROOT (S (VPF (DiscE (NPC (Ncsp------ *),6,0,1,1
5,2,را,را,P,1,ACC,CV,1,2,f,(P *))),1,0,0,1
5,3,بیش,بیش,Apc-,8,VMOD,CVC,1,3,c,(VPS-nid (DPC (Ac--- *),3,0,1,0
5,4,از,از,E-,3,ADJCOMP,CVC,1,2,f,(E------- *)),1,0,1,0
5,5,هر,***not found***هر***Tf-------
5,6,چیز,چیز,Ncsp---,5,DETCOMP,CVC,1,3,c,(PPC-nid (Ncsp------ *),2,0,1,0
5,7,دوست,دوست,Ncsp---,8,MWE,CVCC,1,4,c,(NPC-nid (Ncsp------ *)))),2,1,0,0
5,8,می-داشت,***not found***می-داشت***Vpysshti---
5,9,و,و,Jr-,0,ROOT,CV,1,1,f,(DiscA (PPC (Jr------- *),3,0,0,1
5,10,به-تدریج,***not found***به-تدریج***Nasp---
5,11,برای,برای,Ez,16,IDOBJ,CVCVCVV,3,4,f,(E------z *))))),1,0,0,2
