q,WordIndex,wordForm,Lemma,POS,DepRelation,DepType,PhonePattern,SyllableNumber,WordCharacter,POS type (functional/content),ConstituencyParsing,ConstituencyNumberOfNodes,CVCC Count,CVC Count,CV Count
1,1,روزی,روز,Ncspt-y,9,NSUBJ,CVCV,2,4,c,(ROOT (S (VPA (N (Ncspt---y- *),5,0,0,2
1,2,سگی,سگ,Ncsp--y,1,NN,CVCCV,2,3,c,(Ncsp----y- *)),1,0,1,1
1,3,تکه-ای,***not found***تکه-ای***Ncsp--z
1,4,گوشت,گوشت,Ncsp---,3,NN,CVCC,1,4,c,(Ncsp------ *),1,1,0,0
1,5,از,از,E-,9,IDOBJ,CVC,1,2,f,(NUM (E------- *),2,0,1,0
1,6,یک,یک,Urns---,7,NUM,CVC,1,2,f,(Urns----- *),1,0,1,0
1,7,دکان,دکان,Ncspk--,5,POBJ,CVCCVC,2,4,c,(Ncspk----- *),1,0,2,0
1,8,قصابی,قصابی,Ncsp---,9,MWE,CVCCVCV,3,5,c,(Ncsp------ *))),1,0,1,2
1,9,ربود,ربودن,Vpyssht----,10,VerbCOOR,CVCVC,2,4,c,(Vpys-sht------ *)),1,0,1,1
1,10,و,و,Jr-,0,ROOT,CV,1,1,f,(MV (PPC (Jr------- *),3,0,0,1
1,11,فرار,فرار,Ncsp---,12,MWE,CVCVC,2,4,c,(Ncsp------ *)),1,0,1,1
1,12,کرد,کردن,Vpyssht----,10,VerbCOOR,CVCC,1,3,c,(Vpys-sht------ *)))),1,1,0,0
1,13,.,.,Oe,10,PUNC,.,1,1,f,(Oe *))) ,1,0,0,1
2,1,در,در,E-,5,VMOD,CVC,1,2,f,(ROOT (S (NPA (E------- *),4,0,1,0
2,2,راه,راه,Ncsp---,1,POBJ,CVC,1,3,c,(NPA (Ncsp------ *),2,0,1,0
2,3,به,به,E-,5,MWE,CV,1,2,f,(MN (E------- *),2,0,0,1
2,4,پلی,پل,Ncsp--y,3,POBJ,CVCV,2,3,c,(Ncsp----y- *))),1,0,0,2
2,5,رسید,رسیدن,Vpyssht----,0,ROOT,CVCVC,2,4,c,(Vpys-sht------ *)),1,0,1,1
2,6,.,.,Oe,5,PUNC,.,1,1,f,(Oe *))) ,1,0,0,1
3,1,وقتی,***not found***وقتی***J--
3,2,از,از,E-,12,VMOD,CVC,1,2,f,(E------- *),1,0,1,0
3,3,روی,رو,Ncsp--z,2,POBJ,CVCV,3,3,c,(Ncsp----z- *)),1,0,0,2
3,4,پل,پل,Ncsp--z,3,NN,CVCV,2,2,c,(NUM (Ncsp----z- *),2,0,0,2
3,5,می-گذشت,***not found***می-گذشت***Naspk--
3,6,،,،,Oc,2,PUNC,،,1,1,f,(Oc *)),1,0,0,1
3,7,عکس,عکس,Ncsp--z,12,DOBJ,CVCCV,2,3,c,(VPA-DiscA (DiscA (Ncsp----z- *)),3,0,1,1
3,8,خودش,***not found***خودش***Zx----3-
3,9,را,را,P,7,ACC,CV,1,2,f,(VPC (NPC (Cez--zshc *),3,0,0,1
3,10,در,در,E-,12,MWE,CVC,1,2,f,(P *)),1,0,1,0
3,11,آب,آب,Ncsp---,10,POBJ,CVC,1,2,c,(MV (PPC (E------- *),3,0,1,0
3,12,دید,دیدن,Vpyssht----,0,ROOT,CVC,1,3,c,(Ncsp------ *)),1,0,1,0
3,13,.,.,Oe,12,PUNC,.,1,1,f,(Vpys-sht------ *))))))),1,0,0,1
4,1,خیال,خیال,Ncsp---,2,MWE,CVCVC,2,4,c,(ROOT (S (VPS (NPA (NPA (Ncsp------ *),6,0,1,1
4,2,کرد,کردن,Vpyssht----,0,ROOT,CVCC,1,3,c,(Vpys-sht------ *)),1,1,0,0
4,3,که,که,J--,6,COMPM,CV,1,2,f,(N (J-------- *),2,0,0,1
4,4,سگ,سگ,Ncsp--z,6,NSUBJ,CVCV,2,2,c,(Ncsp----z- *),1,0,0,2
4,5,دیگری,***not found***دیگری***Zfs---y-
