q,WordIndex,wordForm,Lemma,POS,DepRelation,DepType,PhonePattern,SyllableNumber,WordCharacter,POS type (functional/content),ConstituencyParsing,ConstituencyNumberOfNodes,CVCC Count,CVC Count,CV Count
1,1,مینو,مینو,Nasp---,7,NSUBJ,CVCV,2,4,c,(ROOT (S (VPA (N (Nasp------ *),5,0,0,2
1,2,در,در,E-,7,VMOD,CVC,1,2,f,(E------- *)),1,0,1,0
1,3,تهران,تهران,Naspk--,2,POBJ,CVCCVC,2,5,c,(VPA (PPC (Naspk----- *),3,0,2,0
1,4,با,با,E-,7,VMOD,CV,1,2,f,(NPC (E------- *),2,0,0,1
1,5,عمه-اش,***not found***عمه-اش***Ncsp----3-
1,6,زندگی,زندگی,Ncsp---,7,MWE,CVCCVCV,3,5,c,(Cez--nshv *)))),1,0,1,2
1,7,می-کند,***not found***می-کند***Vpyslhsi---
1,8,.,.,Oe,7,PUNC,.,1,1,f,(Vpys-lhsi----- *)))),1,0,0,1
2,1,خانواده,خانواده,Ncsp--z,5,NSUBJ,CVCVCVCVV,5,7,c,(ROOT (S (VPSD (VPA (MADV (NUM (Ncsp----z- *),7,0,0,3
2,2,مینو,مینو,Nasp---,1,NN,CVCV,2,4,c,(Nasp------ *),1,0,0,2
2,3,ساکن,ساکن,Apsz,2,NMOD,CVCVCV,3,4,c,(NUM (As-z- *),2,0,0,3
2,4,همدان,همدان,Naspk--,5,MWE,CVCVCVC,3,5,c,(Naspk----- *),1,0,1,2
2,5,هستند,بودن,Vpyklhs----,6,CC,CVCCVCC,2,5,c,(Vpyk-lhs------ *),1,1,1,0
2,6,و,و,Jr-,0,ROOT,CV,1,1,f,(Jr------- *))),1,0,0,1
2,7,چون,چون,J--,15,MARK,CVC,1,3,f,(J-------- *)),1,0,1,0
2,8,او,***not found***او***Zrsh----
2,9,به,به,E-,15,IDOBJ,CV,1,2,f,(E------- *)),1,0,0,1
2,10,تحصیل,تحصیل,Ncsp---,9,POBJ,CVCCVC,2,5,c,(VPA (MADV (NUM (Ncsp------ *),4,0,2,0
2,11,در,در,E-,10,NN,CVC,1,2,f,(E------- *),1,0,1,0
2,12,دانشگاه,دانشگاه,Ncspk-z,11,POBJ,CVCVCCVCV,4,7,c,(NUM (Ncspk---z- *),2,0,1,3
2,13,تهران,تهران,Naspk--,12,POSSESSIVE,CVCCVC,2,5,c,(Naspk----- *),1,0,2,0
2,14,علاقه,علاقه,Ncsp---,15,MWE,CVCVCV,3,5,c,(Ncsp------ *),1,0,0,3
2,15,داشته,داشتن,Vp------p--,19,VMOD,CVCCV,2,5,c,(Vp-------p---- *))),1,0,1,1
2,16,به,به,E-,18,MWE,CV,1,2,f,(E------- *)),1,0,0,1
2,17,تهران,تهران,Naspk--,16,POBJ,CVCCVC,2,5,c,(MV (Naspk----- *),2,0,2,0
2,18,آمده,آمدن,Vp------p--,15,MWE,CVCVCV,3,4,c,(Vpys-sh-f----- *)))))),1,0,0,3
2,19,است,بودن,Vpykshs----,6,VerbCOOR,CVCC,1,3,c,(Oe *))) ,1,1,0,0
2,20,.,.,Oe,6,PUNC,.,1,1,f,,-1,0,0,1
3,1,پدر,پدر,Ncsp--z,8,NSUBJ,CVCVCV,3,3,c,(ROOT (S (VPA (Ncsp----z- *),4,0,0,3
3,2,مینو,مینو,Nasp---,1,NN,CVCV,2,4,c,(VPF (VPS-nid (MN (Nasp------ *),4,0,0,2
3,3,از,از,E-,8,VMOD,CVC,1,2,f,(E------- *),1,0,1,0
3,4,دو,دو,Urns---,5,NUM,CV,1,2,f,(Urns----- *)),1,0,0,1
3,5,هفته,هفته,Ncspt-z,3,POBJ,CVCCVV,3,4,c,(VPA-nid (NPA (Ncspt---z- *),3,0,1,0
3,6,قبل,قبل,Dgp-t--,5,NMOD,CVCC,1,3,c,(Dgp-t-- *)),1,1,0,0
3,7,مریض,***not found***مریض***Aps-
3,8,شده,شدن,Vp------p--,9,VerbCOOR,CVCV,2,3,c,(NPC-nid (Vp-------p---- *))),2,0,0,2
3,9,و,و,Jr-,0,ROOT,CV,1,1,f,(Jr------- *)),1,0,0,1
3,10,مینو,مینو,Nasp---,22,NSUBJ,CVCV,2,4,c,(Nasp------ *)))),1,0,0,2
3,11,با,با,E-,22,VMOD,CV,1,2,f,(DiscE (CLR (E------- *),3,0,0,1
3,12,دخترعمه-اش,***not found***دخترعمه-اش***Ncsp----3-
3,13,،,،,Oc,11,POBJ,،,1,1,f,(Cez--nshv *)),1,0,0,1
3,14,نرگس,نرگس,Nasp---,13,NounCOOR,CVCCVC,2,4,c,(Oc *)),1,0,2,0
3,15,،,،,Oc,11,PUNC,،,1,1,f,(VPA (ADV (Nasp------ *),3,0,0,1
3,16,برای,برای,Ez,22,VMOD,CVCVCVV,3,4,f,(Oc *)),1,0,0,2
3,17,دیدن,دیدن,Vp-is----z-,16,POBJ,CVCCVV,3,4,c,(VPA (PPC (PPC (E------z *),4,0,1,0
3,18,او,***not found***او***Zrsh----
3,19,به,به,E-,17,NN,CV,1,2,f,(Zrsh---- *))),1,0,0,1
3,20,همدان,همدان,Naspk--,19,POBJ,CVCVCVC,3,5,c,(E------- *)),1,0,1,2
3,21,رفته,رفته,Aps-,20,NMOD,CVCCV,2,4,c,(MV (PPC (Naspk----- *),3,0,1,1
3,22,است,بودن,Vpykshs----,9,VerbCOOR,CVCC,1,3,c,(As--- *)),1,1,0,0
3,23,.,.,Oe,9,PUNC,.,1,1,f,(Vpyk-shs------ *))))))))),1,0,0,1
4,1,همدان,همدان,Naspk--,7,NSUBJ,CVCVCVC,3,5,c,(ROOT (S (NPA (Naspk----- *),4,0,1,2
4,2,336,336,Urns---,3,NUM,336,1,3,f,(NPA (N (Urns----- *),3,0,0,0
4,3,کیلومتر,کیلومتر,Ncsp---,1,NN,CVCVCVCC,3,7,c,(Ncsp------ *),1,1,0,2
4,4,با,با,E-,7,IDOBJ,CV,1,2,f,(E------- *)),1,0,0,1
4,5,تهران,تهران,Naspk--,4,POBJ,CVCCVC,2,5,c,(NUM (Naspk----- *),2,0,2,0
4,6,فاصله,فاصله,Ncsp---,7,MWE,CVCVCV,3,5,c,(Ncsp------ *))),1,0,0,3
4,7,دارد,داشتن,Vpysshs----,0,ROOT,CVCVC,2,4,c,(Vpys-shs------ *)),1,0,1,1
4,8,.,.,Oe,7,PUNC,.,1,1,f,(Oe *))) ,1,0,0,1
5,1,همدان,همدان,Naspk--,15,NSUBJ,CVCVCVC,3,5,c,(ROOT (S (VPF (VPA-nid (Naspk----- *),5,0,1,2
