q,WordIndex,wordForm,Lemma,POS,DepRelation,DepType,PhonePattern,SyllableNumber,WordCharacter,POS type (functional/content),ConstituencyParsing,ConstituencyNumberOfNodes,CVCC Count,CVC Count,CV Count
1,1,اخیراٌ,***not found***اخیراٌ***Ncsp--z
1,2,دوستم,دوست,Ncsp----1-,1,NN,CVCCVC,2,5,c,(VPC (NPC (NPC (Ncsp------ *),4,0,2,0
1,3,بیمار,بیمار,Ncsp---,4,MWE,CCVC,2,5,c,(Cez--nsoc *)),1,0,1,0
1,4,شده,شدن,Vp------p--,0,ROOT,CVCV,2,3,c,(Ncsp------ *)),1,0,0,2
1,5,بود,بودن,Vpyksht----,4,MWE,CVC,1,3,c,(MV (Vp-------p---- *),2,0,1,0
1,6,.,.,Oe,4,PUNC,.,1,1,f,(Vpyk-sht------ *)))),1,0,0,1
2,1,او,***not found***او***Zrsh----
2,2,چند,چند,Tf-------,8,NSUBJ,CVCC,1,3,f,(VPC (DPC (DPA (Tf------- *),4,1,0,0
2,3,بار,بار,Ncsp---,2,DETCOMP,CVC,1,3,c,(Ncsp------ *)),1,0,1,0
2,4,به,به,E-,8,IDOBJ,CV,1,2,f,(E------- *)),1,0,0,1
2,5,پزشک,پزشک,Ncsp--z,4,POBJ,CVCVCCV,3,4,c,(VPA (Ncsp----z- *),2,0,1,2
2,6,متخصص,متخصص,Aps-,5,NMOD,CVCVCVCCVC,4,5,c,(VPA (PPC (PPC (As--- *),4,0,2,2
2,7,مراجعه,مراجعه,Ncsp---,8,MWE,CVCVCVCV,4,6,c,(NPC (Ncsp------ *),2,0,0,4
2,8,کرد,کردن,Vpyssht----,10,VerbCOOR,CVCC,1,3,c,(Vpys-sht------ *))),1,1,0,0
2,9,،,،,Oc,8,PUNC,،,1,1,f,(Oc *)),1,0,0,1
2,10,اما,اما,Jr-,0,ROOT,CVCCV,2,3,f,(VPC (PPC (Jr------- *),3,0,1,1
2,11,حالش,***not found***حالش***Ncsp----3-
2,12,خوب,خوب,Aps-,11,NMOD,CVC,1,3,c,(Cez--nshc *))),1,0,1,0
2,13,نمی-شد,***not found***نمی-شد***Vnyssh--u--
2,14,.,.,Oe,10,PUNC,.,1,1,f,(Vnys-sh--u---- *))))))),1,0,0,1
3,1,سرانجام,***not found***سرانجام***Dgps---
3,2,،,،,Oc,1,PUNC,،,1,1,f,(Oc *)),1,0,0,1
3,3,دکتر,دکتر,Naspf--,8,DOBJ,CVCCVC,2,4,c,(CPC-verb (CPC-verb (Naspf----- *),3,0,2,0
3,4,او,***not found***او***Zrsh----
3,5,را,را,P,3,ACC,CV,1,2,f,(P *)),1,0,0,1
3,6,به,به,E-,8,MWE,CV,1,2,f,(MV (E------- *),2,0,0,1
3,7,بیمارستان,بیمارستان,Ncspk--,6,POBJ,CVCVCVCCVC,4,9,c,(Ncspk----- *)))),1,0,2,2
3,8,فرستاد,فرستادن,Vpyssht----,0,ROOT,CVCVCCVC,3,6,c,(Vpys-sht------ *))),1,0,2,1
3,9,.,.,Oe,8,PUNC,.,1,1,f,(Oe *))) ,1,0,0,1
4,1,من,***not found***من***Zrso----
4,2,معمولاٌ,***not found***معمولاٌ***Ncsp---
4,3,برای,برای,Ez,8,VMOD,CVCVCVV,3,4,f,(NPC (E------z *),2,0,0,2
4,4,دیدار,دیدار,Ncsp--z,3,POBJ,CVCVCV,3,5,c,(NPC (Ncsp----z- *),2,0,0,3
4,5,او,***not found***او***Zrsh----
4,6,به,به,E-,8,MWE,CV,1,2,f,(MV (E------- *),2,0,0,1
4,7,بیمارستان,بیمارستان,Ncspk--,6,POBJ,CVCVCVCCVC,4,9,c,(Ncspk----- *)))),1,0,2,2
4,8,می-رفتم,***not found***می-رفتم***Vpyssoti---
4,9,و,و,Jr-,0,ROOT,CV,1,1,f,(CPC-cl (Jr------- *),2,0,0,1
4,10,غالباٌ,***not found***غالباٌ***Ncsp---
4,11,برایش,برا,E------3,13,MWE,CVCVCVVC,3,5,f,(VPSD (VPC (PPC (E------- *),4,0,0,2
4,12,هدیه-ای,***not found***هدیه-ای***Ncsp---
4,13,می-گرفتم,***not found***می-گرفتم***Vpyssosi---
4,14,.,.,Oe,9,PUNC,.,1,1,f,(Vpys-sosi----- *))))))),1,0,0,1
5,1,مثلاٌ,***not found***مثلاٌ***Ncsp--z
5,2,دفعه,دفعه,Ncsp--z,1,NN,CVCCVV,3,4,c,(CPC-adj (Ncsp----z- *),2,0,1,0
5,3,آخر,***not found***آخر***Uoa----
5,4,یک,یک,Urns---,3,NUMBER,CVC,1,2,f,(Urns----- *)))),1,0,1,0
5,5,مجله,مجله,Ncsp---,6,MWE,CVCVCCV,3,4,c,(N (Ncsp------ *),2,0,1,2
5,6,گرفتم,گرفتن,Vpyssot----,7,VerbCOOR,CVCVCCVC,3,5,c,(Vpys-sot------ *),1,0,2,1
5,7,و,و,Jr-,0,ROOT,CV,1,1,f,(Jr------- *))),1,0,0,1
5,8,به,به,E-,11,IDOBJ,CV,1,2,f,(VPC (ADJPC (E------- *),3,0,0,1
5,9,دیدن,دیدن,Vp-is----z-,8,POBJ,CVCCVV,3,4,c,(NPC (Vp-i-s------z- *),2,0,1,0
5,10,او,***not found***او***Zrsh----
5,11,رفتم,رفتن,Vpyssot----,7,VerbCOOR,CVCCVC,2,4,c,(Vpys-sot------ *))),1,0,2,0
5,12,.,.,Oe,7,PUNC,.,1,1,f,(Oe *))) ,1,0,0,1
6,1,دوستم,دوست,Ncsp----1-,6,DOBJ,CVCCVC,2,5,c,(ROOT (S (VPS (NPA (NPC (NPC (NPC (Ncsp------ *),8,0,2,0
6,2,مجله,مجله,Ncsp---,1,NN,CVCVCCV,3,4,c,(Cez--nsoc *)),1,0,1,2
6,3,را,را,P,1,ACC,CV,1,2,f,(Ncsp------ *)),1,0,0,1
6,4,از,از,E-,6,VMOD,CVC,1,2,f,(P *)),1,0,1,0
6,5,من,***not found***من***Zrso----
6,6,گرفت,گرفتن,Vpyssht----,7,VerbCOOR,CVCVCC,2,4,c,(CPC-noun (Zrso---- *),2,1,0,1
