q,WordIndex,wordForm,Lemma,POS,DepRelation,DepType,PhonePattern,SyllableNumber,WordCharacter,POS type (functional/content),ConstituencyParsing,ConstituencyNumberOfNodes,CVCC Count,CVC Count,CV Count
1,1,هنر,هنر,Ncsp--z,9,NSUBJ,CVCVCV,3,3,c,(ROOT (S (VPSD (VPC-nid-DiscA (NPC-nid (NPA-nid (NPC (Ncsp----z- *),8,0,0,3
1,2,قالی-بافی,قالی-بافی,Ncsp---,1,NN,CVCVCVCV,4,9,c,(Ncsp------ *))),1,0,0,4
1,3,در,در,E-,9,VMOD,CVC,1,2,f,(E------- *)),1,0,1,0
1,4,ایران,ایران,Naspk--,3,POBJ,CVCVC,2,5,c,(VPA-DiscA (DiscA (Naspk----- *)),3,0,1,1
1,5,دارای,دارای,Apsz,9,COPCOMP,CVCVCV,3,5,c,(VPA (NPC (As-z- *),3,0,0,3
1,6,گذشته-ای,***not found***گذشته-ای***Ncsp--z
1,7,بسیار,بسیار,Dips---,8,ADJMOD,CVCVC,2,5,c,(VPC (ADJPA (Dips--- *),3,0,1,1
1,8,طولانی,طولانی,Aps-,6,NMOD,CVCVCV,3,6,c,(As--- *)),1,0,0,3
1,9,است,بودن,Vpykshs----,0,ROOT,CVCC,1,3,c,(Vpyk-shs------ *)))))),1,1,0,0
1,10,.,.,Oe,9,PUNC,.,1,1,f,(Oe *))) ,1,0,0,1
2,1,قالی,قالی,Ncsp--z,12,NSUBJ,CVCVV,3,4,c,(ROOT (S (VPS (NPC (NPC (Ncsp----z- *),6,0,0,1
2,2,پازیریک,***not found***پازیریک***Nasp---
2,3,قدیم-ترین,قدیم-,Apu-,2,NMOD,CVCVCC,4,9,c,(CPC-adj (Au--- *),2,1,0,1
2,4,قالی,قالی,Ncsp--z,2,NN,CVCVV,3,4,c,(CPC-adj (Ncsp----z- *),2,0,0,1
2,5,جهان,جهان,Ncsp---,4,NN,CVCVC,2,4,c,(Ncsp------ *))))),1,0,1,1
2,6,،,،,Oc,1,PUNC,،,1,1,f,(Oc *)),1,0,0,1
2,7,نقش-هایی,***not found***نقش-هایی***Nclp--y
2,8,مانند,***not found***مانند***Dgp-e-z
2,9,نقش-های,نقش-,Nclp--z,8,ADVCOMP,CVCCVCV,3,7,c,(MN (Nclp----z- *),2,0,1,2
2,10,تخت,تخت,Ncsp--z,9,NN,CVCCV,2,3,c,(Ncsp----z- *),1,0,1,1
2,11,جمشید,جمشید,Nasp---,12,MWE,CVCCVC,2,5,c,(Nasp------ *)))),1,0,2,0
2,12,دارد,داشتن,Vpysshs----,0,ROOT,CVCVC,2,4,c,(Vpys-shs------ *))),1,0,1,1
2,13,.,.,Oe,12,PUNC,.,1,1,f,(Oe *))) ,1,0,0,1
3,1,قالی,قالی,Ncsp--z,12,NSUBJ,CVCVV,3,4,c,(ROOT (S (VPF (VPS-nid (NPC (NPC (Ncsp----z- *),7,0,0,1
3,2,خسروپرویز,***not found***خسروپرویز***Nasp---
3,3,،,،,Oc,1,PUNC,،,1,1,f,(Oc *)),1,0,0,1
3,4,پادشاه,پادشاه,Ncsp--z,12,NSUBJ,CVCVCVCV,4,6,c,(VPA-nid (PPC (PPC (Ncsp----z- *),4,0,0,4
3,5,مشهور,مشهور,Apsz,4,NMOD,CVCCVCV,3,5,c,(NPC (As-z- *),2,0,1,2
3,6,ساسانی,ساسانی,Nasp---,4,NN,CVCVCV,3,6,c,(Nasp------ *))),1,0,0,3
3,7,،,،,Oc,4,PUNC,،,1,1,f,(Oc *)),1,0,0,1
3,8,به,به,E-,12,IDOBJ,CV,1,2,f,(VPC-nid (ADJPA-nid (E------- *),3,0,0,1
3,9,شکل,شکل,Ncsp--z,8,POBJ,CVCCV,2,3,c,(ADJPC-nid (CPC-adj (Ncsp----z- *),3,0,1,1
3,10,باغ,باغ,Ncspk-z,9,NN,CVCV,2,3,c,(CPC-adj (Ncspk---z- *),2,0,0,2
3,11,بزرگی,بزرگ,Apsy,10,NMOD,CVCVCCC,3,5,c,(ADJPA (ADJ (As-y- *),3,0,0,1
3,12,بوده,بودن,Vp------p--,0,ROOT,CVCV,2,4,c,(Vpys-sh-f----- *),1,0,0,2
3,13,است,بودن,Vpykshs----,12,MWE,CVCC,1,3,c,(J-------- *)),1,1,0,0
3,14,که,که,J--,29,RELSUBJ,CV,1,2,f,(ADJ (Nclp------ *),2,0,0,1
3,15,گل-ها,گل-,Nclp---,16,NounCOOR,CVCCV,2,5,c,(Jr------- *),1,0,1,1
