q,WordIndex,wordForm,Lemma,POS,DepRelation,DepType,PhonePattern,SyllableNumber,WordCharacter,POS type (functional/content),ConstituencyParsing,ConstituencyNumberOfNodes,CVCC Count,CVC Count,CV Count
1,1,تهران-,تهران-,Ncsp--z,11,VMOD,CVCCVCV,3,6,c,(ROOT (S (VPS (Ncsp----z- *),4,0,1,2
1,2,واحد,***not found***واحد***Ncsp--z
1,3,مرکزی,مرکزی,Apsz,2,NMOD,CVCCVCVV,4,5,c,(As-z- *)),1,0,1,1
1,4,خبر,خبر,Ncsp---,2,NN,CVCVC,2,3,c,(VPC (Ncsp------ *),2,0,1,1
1,5,:,:,Oo,1,PUNC,:,1,1,f,(VPS (Oo *),2,0,0,1
1,6,یک,یک,Urns---,7,NUM,CVC,1,2,f,(VPS (Urns----- *),2,0,1,0
1,7,روزنامه,روزنامه,Ncsp--z,11,NSUBJ,CVCCVCVV,4,7,c,(VPA (PPC (PPC (Ncsp----z- *),4,0,1,1
1,8,اردنی,اردنی,Apsz,7,NMOD,CVCCVCVV,4,5,c,(NPA (As-z- *),2,0,1,1
1,9,دیروز,دیروز,Dgp-t--,7,NMOD,CVCVC,2,5,c,(Dgp-t-- *))),1,0,1,1
1,10,گزارش,گزارش,Ncsp---,11,MWE,CVCVCVC,3,5,c,(Ncsp------ *)),1,0,1,2
1,11,داد,دادن,Vpyssht----,0,ROOT,CVC,1,3,c,(VPC (Vpys-sht------ *),2,0,1,0
1,12,:,:,Oo,14,PUNC,:,1,1,f,(VPF (Oo *),2,0,0,1
1,13,انتظار,انتظار,Ncsp---,14,MWE,CVCCVCVC,3,6,c,(VPF (VPS-nid (DPC (Ncsp------ *),4,0,2,1
1,14,می-رود,***not found***می-رود***Vpysshsi---
1,15,مقام-های,مقام-,Nclp--z,24,NSUBJ,CVCVCCVCVV,4,8,c,(VPC-nid (NPA-nid (NPA-nid (NPA (Nclp----z- *),5,0,1,2
1,16,مصر,مصر,Naspk--,17,NounCOOR,CVCC,1,3,c,(ADJPA (NUM (Naspk----- *),3,1,0,0
1,17,و,و,Jr-,15,NN,CV,1,1,f,(Jr------- *),1,0,0,1
1,18,لیبی,لیبی,Naspk--,17,NounCOOR,CVCV,2,4,c,(Naspk----- *),1,0,0,2
1,19,به,به,E-,24,IDOBJ,CV,1,2,f,(E------- *),1,0,0,1
1,20,زودی,زودی,Ncsp---,19,POBJ,CVCV,2,4,c,(Ncsp------ *)),1,0,0,2
1,21,در,در,E-,24,IDOBJ,CVC,1,2,f,(E------- *))),1,0,1,0
1,22,قاهره,قاهره,Naspk--,21,POBJ,CVCVCV,3,5,c,(PPC-nid (Naspk----- *),2,0,0,3
1,23,ملاقات,ملاقات,Ncsp---,24,MWE,CVCVCVC,3,6,c,(DPC-nid (DPC (Ncsp------ *),3,0,1,2
1,24,کنند,کردن,Vpyslh--u--,14,CCOMP,CVCVCC,2,4,c,(Vpys-lh--u---- *))))),1,1,0,1
1,25,،,،,Oc,14,PUNC,،,1,1,f,(Oc *)),1,0,0,1
1,26,تا,تا,J--,49,PURPCL,CV,1,2,f,(J-------- *))),1,0,0,1
1,27,درباره,درباره,Ez,49,VMOD,CVCCVCVCVV,4,6,f,(DiscE (CLR (E------z *),3,0,1,2
1,28,نحوه,نحوه,Ncsp--z,27,POBJ,CVCCVV,3,4,c,(CPC (CLQ (Ncsp----z- *),3,0,1,0
1,29,بهبود,بهبود,Ncsp--z,28,NN,CVCCVCV,3,5,c,(VPA-nid-DiscA (VPS-DiscA (Ncsp----z- *),3,0,1,2
1,30,روابط,رابطه,Nclp--z,29,NN,CVCVCVCV,4,5,c,(VPA-DiscA (DiscA (Nclp----z- *)),3,0,0,4
1,31,خود,***not found***خود***Zx------
1,32,که,که,J--,36,RELSUBJ,CV,1,2,f,(VPC (J-------- *),2,0,0,1
1,33,حدود,***not found***حدود***Dgps--z
1,34,یازده,یازده,Urns---,35,NUM,CVCCVC,2,5,f,(Urns----- *)),1,0,2,0
1,35,سال,سال,Ncspt--,36,COPCOMP,CVC,1,3,c,(MV (Ncspt----- *),2,0,1,0
1,36,است,بودن,Vpykshs----,29,NN,CVCC,1,3,c,(Vpyk-shs------ *))))))))),1,1,0,0
1,37,به,به,E-,44,IDOBJ,CV,1,2,f,(CPC-res (E------- *),2,0,0,1
1,38,سبب,سبب,Ncsp--z,37,POBJ,CVCVCV,3,3,c,(CPC-res (Ncsp----z- *),2,0,0,3
1,39,بی-اعتمادی,***not found***بی-اعتمادی***Ncsp---
1,40,و,و,Jr-,38,NN,CV,1,1,f,(CPC-res (Jr------- *),2,0,0,1
1,41,تبلیغات,تبلیغ,Nclp--z,40,NounCOOR,CVCCVCVCV,4,7,c,(CPC-res (Nclp----z- *),2,0,1,3
1,42,خصمانه,***not found***خصمانه***Aps-
1,43,تیره,تیره,Aps-,44,MWE,CVCV,2,4,c,(CPC-res (As--- *),2,0,0,2
1,44,شده,شدن,Vp------p--,36,COMP,CVCV,2,3,c,(CPC-res (Vp-------p---- *),2,0,0,2
1,45,بود,بودن,Vpyksht----,44,MWE,CVC,1,3,c,(CPC-res (Vpyk-sht------ *),2,0,1,0
1,46,،,،,Oc,27,PUNC,،,1,1,f,(CPC-res (Oc *),2,0,0,1
1,47,به,به,E-,49,MWE,CV,1,2,f,(CPC-res (E------- *),2,0,0,1
1,48,گفتگو,گفتگو,Ncsp---,47,POBJ,CVCCVCV,3,5,c,(Ncsp------ *))))))))))))))))))))))),1,0,1,2
1,49,بپردازند,***not found***بپردازند***Vpyslh--u--
1,50,.,.,Oe,11,PUNC,.,1,1,f,(Oe *))) ,1,0,0,1
2,1,به,به,E-,12,VMOD,CV,1,2,f,(ROOT (S (VPS (DPC (E------- *),5,0,0,1
2,2,گزارش,گزارش,Ncsp--z,1,POBJ,CVCVCVCV,4,5,c,(Ncsp----z- *)),1,0,0,4
2,3,خبرگزاری,خبرگزاری,Ncsp--z,2,NN,CVCVCCVCVCVV,6,8,c,(VPA (PPC (PPC (Ncsp----z- *),4,0,1,3
2,4,امارات,امارات,Naspk-z,3,NN,CVCVCVCV,4,6,c,(NPC (Naspk---z- *),2,0,0,4
2,5,عربی,عربی,Nasp--z,4,NN,CVCVCCV,4,4,c,(NPA (Nasp----z- *),2,0,1,2
2,6,متحده,متحده,Aps-,5,NMOD,CVCCVCVCV,4,5,c,(As--- *)))),1,0,1,3
2,7,،,،,Oc,1,PUNC,،,1,1,f,(Oc *)),1,0,0,1
2,8,روزنامه,روزنامه,Ncsp---,12,VMOD,CVCCVCV,3,7,c,(VPC (Ncsp------ *),2,0,1,2
2,9,:,:,Oo,8,PUNC,:,1,1,f,(VPS (Oo *),2,0,0,1
2,10,الرأی,***not found***الرأی***Nasp--z
2,11,&quot;,***not found***&quot;***Nasp---
2,12,نوشت,نوشتن,Vpyssht----,0,ROOT,CVCVCC,2,4,c,(VPC (Vpys-sht------ *),2,1,0,1
2,13,:,:,Oo,19,PUNC,:,1,1,f,(CPC-verb (Oo *),2,0,0,1
2,14,رهبر,رهبر,Ncsp--z,19,NSUBJ,CVCCVCV,3,4,c,(CPC-verb (Ncsp----z- *),2,0,1,2
2,15,لیبی,لیبی,Naspk--,14,NN,CVCV,2,4,c,(VPA-nid-DiscA (VPA-nid (VPA-nid (CPC-adv (Naspk----- *),5,0,0,2
2,16,نیز,***not found***نیز***J--
2,17,ابراز,ابراز,Ncsp--z,19,NSUBJ,CVCCVCV,3,5,c,(Ncsp----z- *))),1,0,1,2
2,18,تمایل,تمایل,Ncsp---,19,MWE,CVCVCVC,3,5,c,(VPA-nid (CPC-adv (Ncsp------ *),3,0,1,2
2,19,کرده,کردن,Vp------p--,12,CCOMP,CVCCV,2,4,c,(CPC-adv (Vp-------p---- *),2,0,1,1
2,20,که,که,J--,31,COMPM,CV,1,2,f,(J-------- *))),1,0,0,1
2,21,با,با,E-,31,VMOD,CV,1,2,f,(VPA-nid (CPC-adv (E------- *),3,0,0,1
2,22,شرکت,شرکت,Ncsp--z,21,POBJ,CVCCVCV,3,4,c,(CPC-adv (Ncsp----z- *),2,0,1,2
2,23,مصر,مصر,Naspk--,22,NN,CVCC,1,3,c,(Naspk----- *))),1,1,0,0
2,24,در,در,E-,22,NMOD,CVC,1,2,f,(VPA-nid (ADVPC-nid (ADVPC (E------- *),4,0,1,0
2,25,کنفرانس,کنفرانس,Ncsp--z,24,POBJ,CVCCVCVCCV,4,7,c,(Ncsp----z- *))),1,0,2,2
2,26,آینده,آینده,Ncspt--,25,NN,CVCVCCV,3,5,c,(Ncspt----- *))))),1,0,1,2
2,27,،,،,Oc,21,PUNC,،,1,1,f,(Oc *)),1,0,0,1
2,28,سران,سر,Nclp--z,31,NSUBJ,CVCCVCV,3,4,c,(DiscA (PPC (Nclp----z- *),3,0,1,2
2,29,عرب,عرب,Nasp---,28,NN,CVCVC,2,3,c,(NPC (Nasp------ *),2,0,1,1
2,30,موافقت,موافقت,Ncsp---,31,MWE,CVCVCVCVC,4,6,c,(NPA (Ncsp------ *),2,0,1,3
2,31,نماید,نمودن,Vpyssh--u--,19,VMOD,CVCVC,3,5,c,(Vpys-sh--u---- *)))))))))))))),1,0,1,1
2,32,.,.,Oe,12,PUNC,.,1,1,f,(Oe *))) ,1,0,0,1
3,1,امکان,امکان,Ncsp--z,6,NSUBJ,CVCCVCV,3,5,c,(ROOT (S (VPF (VPS-nid (Ncsp----z- *),5,0,1,2
3,2,بهبود,بهبود,Ncsp--z,1,NN,CVCCVCV,3,5,c,(VPC-nid (NPA-nid (NPA-nid (NPA (Ncsp----z- *),5,0,1,2
3,3,روابط,رابطه,Nclp---,2,NN,CVCVCVC,3,5,c,(ADJPA (NUM (Nclp------ *),3,0,1,2
3,4,هنگامی,هنگام,Ncsp--y,3,NN,CVCCVCC,3,6,c,(Ncsp----y- *),1,1,1,0
3,5,مطرح,***not found***مطرح***Aps-
3,6,شد,شدن,Vpyssht----,0,ROOT,CVC,1,2,c,(Vpys-sht------ *),1,0,1,0
3,7,که,که,J--,19,COMPM,CV,1,2,f,(J-------- *)),1,0,0,1
3,8,رئیس,رئیس,Ncsp--z,19,NSUBJ,CVCVCV,3,4,c,(Ncsp----z- *))),1,0,0,3
3,9,سازمان,سازمان,Ncsp--z,8,NN,CVCCVCV,3,6,c,(PPC-nid (Ncsp----z- *),2,0,1,2
3,10,آزادی-بخش,آزادی-بخش,Apsz,9,NMOD,CVCVCVCVCCV,5,9,c,(DPC-nid (DPC (As-z- *),3,0,1,4
3,11,فلسطین,فلسطین,Naspk--,9,NN,CVCVCCVC,3,6,c,(Naspk----- *))))),1,0,2,1
3,12,،,،,Oc,8,PUNC,،,1,1,f,(Oc *)),1,0,0,1
3,13,به,به,E-,19,MWE,CV,1,2,f,(E------- *))),1,0,0,1
3,14,میانجی-گری,میانجی-گر,Ncsp--y,13,POBJ,CVCVCCVCVCV,5,10,c,(DiscE (CLR (Ncsp----y- *),3,0,1,4
3,15,بین,بین,Ez,14,NN,CVCVV,2,3,f,(VPSD (VPC (PPC (E------z *),4,0,0,1
3,16,این,***not found***این***Tm-------
3,17,دو,دو,Urns---,18,NUM,CV,1,2,f,(Urns----- *))),1,0,0,1
3,18,کشور,کشور,Ncspk--,16,DETCOMP,CVCCVC,2,4,c,(MV (Ncspk----- *),2,0,2,0
3,19,پرداخت,پرداختن,Vpyssht----,6,CCOMP,CVCCVCC,2,6,c,(Vpys-sht------ *))))))),1,1,1,0
3,20,.,.,Oe,6,PUNC,.,1,1,f,(Oe *))) ,1,0,0,1
4,1,این,***not found***این***Tm-------
4,2,روزنامه,روزنامه,Ncsp---,1,DETCOMP,CVCCVCV,3,7,c,(Ncsp------ *)),1,0,1,2
4,3,نوشت,نوشتن,Vpyssht----,0,ROOT,CVCVCC,2,4,c,(VPC (Vpys-sht------ *),2,1,0,1
4,4,:,:,Oo,14,PUNC,:,1,1,f,(VPF (Oo *),2,0,0,1
4,5,وی,***not found***وی***Zrsh----
4,6,در,در,E-,14,VMOD,CVC,1,2,f,(VPA-nid (E------- *),2,0,1,0
4,7,ملاقات,ملاقات,Ncsp--z,6,POBJ,CVCVCVCV,4,6,c,(VPC-nid (PPA-nid (PPC (Ncsp----z- *),4,0,0,4
4,8,روز,روز,Ncspt-z,7,NN,CVCV,2,3,c,(ADVPC (Ncspt---z- *),2,0,0,2
4,9,یکشنبه,یکشنبه,Naspd-z,8,POSSESSIVE,CVCCVCCVV,4,6,c,(NPC (Naspd---z- *),2,0,2,0
4,10,خود,***not found***خود***Zx------
4,11,با,با,E-,14,VMOD,CV,1,2,f,(E------- *)))),1,0,0,1
4,12,رئیس-جمهوری,***not found***رئیس-جمهوری***Ncsp--z
4,13,مصر,مصر,Naspk--,12,NN,CVCC,1,3,c,(VPSD (VPC (NPC (Naspk----- *),4,1,0,0
4,14,گفت,گفتن,Vpyssht----,3,CCOMP,CVCC,1,3,c,(Vpys-sht------ *)),1,1,0,0
