q,WordIndex,wordForm,Lemma,POS,DepRelation,DepType,PhonePattern,SyllableNumber,WordCharacter,POS type (functional/content),ConstituencyParsing,ConstituencyNumberOfNodes,CVCC Count,CVC Count,CV Count
1,1,هفت-سین,***not found***هفت-سین***Ncsp---
1,2,را,را,P,1,ACC,CV,1,2,f,(P *)),1,0,0,1
1,3,چیده,چیدن,Vp------p--,0,ROOT,CVCV,2,4,c,(MV (Vp-------p---- *),2,0,0,2
1,4,بودم,بودن,Vpyksot----,3,MWE,CVCVC,2,4,c,(Vpyk-sot------ *)))),1,0,1,1
1,5,.,.,Oe,3,PUNC,.,1,1,f,(Oe *))) ,1,0,0,1
2,1,با,با,E-,11,VMOD,CV,1,2,f,(ROOT (S (VPS (E------- *),4,0,0,1
2,2,همه,***not found***همه***Tf------z
2,3,تلاشی,تلاش,Ncsp--y,2,DETCOMP,CVCVCV,3,5,c,(Ncsp----y- *)),1,0,0,3
2,4,که,که,J--,5,RELSUBJ,CV,1,2,f,(ADVPC (J-------- *),2,0,0,1
2,5,کرده,کردن,Vp------p--,3,NN,CVCCV,2,4,c,(NPC (Vp-------p---- *),2,0,1,1
2,6,بودم,بودن,Vpyksot----,5,MWE,CVCVC,2,4,c,(Vpyk-sot------ *)))),1,0,1,1
2,7,،,،,Oc,1,PUNC,،,1,1,f,(Oc *)),1,0,0,1
2,8,باز,***not found***باز***Dgp-r--
2,9,هم,هم,J--,8,ADVMOD,CVC,1,2,f,(VPC (J-------- *),2,0,1,0
2,10,محقر,محقر,Aps-,11,MWE,CVCVCCVC,3,4,c,(As--- *)))),1,0,2,1
2,11,بود,بودن,Vpyksht----,0,ROOT,CVC,1,3,c,(Vpyk-sht------ *)),1,0,1,0
2,12,.,.,Oe,11,PUNC,.,1,1,f,(Oe *))) ,1,0,0,1
3,1,من,***not found***من***Zrso----
3,2,و,و,Jr-,3,ADJMOD,CV,1,1,f,(VPC-DiscA (DiscA (Jr------- *)),3,0,0,1
3,3,رحیم,***not found***رحیم***Aps-
3,4,بر,بر,E-,3,ADJCOMP,CVC,1,2,f,(E------- *)),1,0,1,0
3,5,سر,سر,Ncsp--z,4,POBJ,CVCCV,2,2,c,(NPC (Ncsp----z- *),2,0,1,1
3,6,آن,***not found***آن***Zms-----
3,7,نشسته,نشستن,Vp------p--,0,ROOT,CVCVCCV,3,5,c,(Vp-------p---- *)),1,0,1,2
3,8,بودیم,بودن,Vpyklot----,7,MWE,CVCCVC,2,5,c,(Vpyk-lot------ *))))),1,0,2,0
3,9,.,.,Oe,7,PUNC,.,1,1,f,(Oe *))) ,1,0,0,1
4,1,هم,هم,J--,3,MARK,CVC,1,2,f,(ROOT (S (NPA (J-------- *),4,0,1,0
4,2,شیرین,شیرین,Aps-,3,MWE,CVCVC,2,5,c,(NPA (As--- *),2,0,1,1
4,3,بود,بودن,Vpyksht----,4,ClCOOR,CVC,1,3,c,(CPC-adj (Vpyk-sht------ *),2,0,1,0
4,4,و,و,Jr-,0,ROOT,CV,1,1,f,(CPC-adj (Jr------- *),2,0,0,1
4,5,هم,هم,Jr-,6,ADJMOD,CVC,1,2,f,(Jr------- *)))),1,0,1,0
4,6,دردناک,دردناک,Aps-,4,AdjCOOR,CVCCCVC,2,6,c,(As--- *)),1,1,1,0
4,7,.,.,Oe,4,PUNC,.,1,1,f,(Oe *))) ,1,0,0,1
5,1,شیرین,شیرین,Aps-,2,MWE,CVCVC,2,5,c,(ROOT (S (VPS (NPA (NPA (As--- *),6,0,1,1
5,2,بود,بودن,Vpyksht----,0,ROOT,CVC,1,3,c,(Vpyk-sht------ *)),1,0,1,0
5,3,،,،,Oc,2,PUNC,،,1,1,f,(Oc *)),1,0,0,1
5,4,چون,چون,J--,7,MARK,CVC,1,3,f,(VPC (PPC (J-------- *),3,0,1,0
5,5,با,با,E-,7,COPCOMP,CV,1,2,f,(E------- *)),1,0,0,1
5,6,رحیم,***not found***رحیم***Aps-
5,7,بودم,بودن,Vpyksot----,2,VMOD,CVCVC,2,4,c,(Vpyk-sot------ *)))),1,0,1,1
5,8,.,.,Oe,2,PUNC,.,1,1,f,(Oe *))) ,1,0,0,1
6,1,او,***not found***او***Zrsh----
6,2,مرد,مرد,Ncsp--z,5,COPCOMP,CVCCV,2,3,c,(VPC (PPC (Ncsp----z- *),3,0,1,1
6,3,خانه,خانه,Ncspk-z,2,NN,CVCVV,3,4,c,(NPC (Ncspk---z- *),2,0,0,1
6,4,من,***not found***من***Zrso----
6,5,بود,بودن,Vpyksht----,0,ROOT,CVC,1,3,c,(Vpyk-sht------ *))),1,0,1,0
6,6,.,.,Oe,5,PUNC,.,1,1,f,(Oe *))) ,1,0,0,1
7,1,بالای,***not found***بالای***Ez
7,2,سفره,سفره,Ncsp--z,1,POBJ,CVCCVV,3,4,c,(Ncsp----z- *)),1,0,1,0
7,3,هفت-سین,***not found***هفت-سین***Nasp---
7,4,نشسته,نشستن,Vp------p--,6,VerbCOOR,CVCVCCV,3,5,c,(Vp-------p---- *),1,0,1,2
7,5,بود,بودن,Vpyksht----,4,MWE,CVC,1,3,c,(Vpyk-sht------ *))),1,0,1,0
7,6,و,و,Jr-,0,ROOT,CV,1,1,f,(VPC (Jr------- *),2,0,0,1
7,7,به,به,E-,10,IDOBJ,CV,1,2,f,(VPS (E------- *),2,0,0,1
7,8,من,***not found***من***Zrso----
7,9,چشم,چشم,Ncsp---,10,MWE,CVCC,1,3,c,(VPC (ADJPA (Ncsp------ *),3,1,0,0
7,10,دوخته,دوختن,Vp------p--,6,VerbCOOR,CVCCV,2,5,c,(Vp-------p---- *)),1,0,1,1
7,11,بود,بودن,Vpyksht----,10,MWE,CVC,1,3,c,(Vpyk-sht------ *)))))),1,0,1,0
7,12,.,.,Oe,6,PUNC,.,1,1,f,(Oe *))) ,1,0,0,1
8,1,می-گفت,***not found***می-گفت***Nasp---
8,2,:,:,Oo,1,PUNC,:,1,1,f,(Oo *)),1,0,0,1
8,3,&quot;,***not found***&quot;***Sw-b-
8,4,می-خواهم,***not found***می-خواهم***Sw-b-
8,5,موقع,موقع,Ncsp--z,13,NSUBJ,CVCVCV,3,4,c,(CPC-adj (Ncsp----z- *),2,0,0,3
8,6,تحویل,تحویل,Ncsp--z,5,NN,CVCCVCV,3,5,c,(CPC-adj (Ncsp----z- *),2,0,1,2
8,7,سال,سال,Ncspt--,5,APPOS,CVC,1,3,c,(Ncspt----- *))))),1,0,1,0
8,8,،,،,Oc,5,PUNC,،,1,1,f,(Oc *)),1,0,0,1
8,9,نگاهم,نگاه,Ncsp----1-,13,MWE,CVCVCVC,3,5,c,(VPS (NPC (NPC (Ncsp------ *),4,0,1,2
8,10,به,به,E-,9,NN,CV,1,2,f,(Cez--nsoc *)),1,0,0,1
8,11,صورت,صورت,Ncsp--z,10,POBJ,CVCVCV,3,4,c,(E------- *)),1,0,0,3
8,12,تو,***not found***تو***Zrst----
8,13,باشد,بودن,Vpyssh--u--,0,ROOT,CVCVC,2,4,c,(Zrst---- *)),1,0,1,1
8,14,.,.,Oe,13,PUNC,.,1,1,f,(Vpys-sh--u---- *))))),1,0,0,1
9,1,&quot;,***not found***&quot;***Nasp---
9,2,دردناک,دردناک,Aps-,1,NMOD,CVCCCVC,2,6,c,(NPC (As--- *),2,1,1,0
9,3,بود,بودن,Vpyksht----,0,ROOT,CVC,1,3,c,(Vpyk-sht------ *))),1,0,1,0
9,4,،,،,Oc,3,PUNC,،,1,1,f,(Oc *)),1,0,0,1
9,5,چون,چون,J--,14,MARK,CVC,1,3,f,(VPA (MADV (NUM (J-------- *),4,0,1,0
9,6,به,به,E-,14,IDOBJ,CV,1,2,f,(E------- *),1,0,0,1
9,7,یاد,یاد,Ncsp--z,6,POBJ,CVCV,2,3,c,(NUM (Ncsp----z- *),2,0,0,2
9,8,تحویل,تحویل,Ncsp--z,7,NN,CVCCVCV,3,5,c,(Ncsp----z- *),1,0,1,2
9,9,سال,سال,Ncspt-z,8,NN,CVCV,2,3,c,(Ncspt---z- *),1,0,0,2
9,10,نو,نو,Aps-,9,NMOD,CV,1,2,c,(As--- *))),1,0,0,1
9,11,در,در,E-,14,VMOD,CVC,1,2,f,(E------- *)),1,0,1,0
9,12,خانه,خانه,Ncspk-z,11,POBJ,CVCVV,3,4,c,(VPC (PPC (Ncspk---z- *),3,0,0,1
9,13,خودمان,***not found***خودمان***Zx----4-
9,14,بودم,بودن,Vpyksot----,3,VMOD,CVCVC,2,4,c,(MV (Cez--zloc *),2,0,1,1
9,15,.,.,Oe,3,PUNC,.,1,1,f,(Vpyk-sot------ *))))),1,0,0,1
10,1,به,به,E-,8,VMOD,CV,1,2,f,(ROOT (S (DPC (DPC (E------- *),5,0,0,1
10,2,یاد,یاد,Ncsp--z,1,POBJ,CVCV,2,3,c,(Ncsp----z- *)),1,0,0,2
10,3,چهارشنبه-سوری,***not found***چهارشنبه-سوری***Aps-
10,4,با,با,E-,1,PREPMOD,CV,1,2,f,(CPC (CPC (CPC-res (E------- *),4,0,0,1
10,5,جوانان,***not found***جوانان***Nclp--z
10,6,خانواده,خانواده,Ncsp---,5,NN,CVCVCVCV,4,7,c,(CPC-res (Ncsp------ *),2,0,0,4
10,7,،,،,Oc,1,PUNC,،,1,1,f,(CPC-res (Oc *),2,0,0,1
10,8,پریدن,پریدن,Vp-is------,0,ROOT,CVCVCC,3,5,c,(CPC-res (Vp-i-s-------- *),2,1,0,1
10,9,از,از,E-,8,NN,CVC,1,2,f,(CPC-res (E------- *),2,0,1,0
10,10,روی,رو,Ncsp--z,9,POBJ,CVCV,3,3,c,(CPC-res (Ncsp----z- *),2,0,0,2
10,11,آتش,آتش,Ncsp---,12,NounCOOR,CVCVC,2,3,c,(CPC-res (Ncsp------ *),2,0,1,1
10,12,،,،,Oc,10,NN,،,1,1,f,(CPC-res (Oc *),2,0,0,1
10,13,جیغ,جیغ,Ncsp---,14,NounCOOR,CVC,1,3,c,(Ncsp------ *)))))))))),1,0,1,0
10,14,و,و,Jr-,12,NounCOOR,CV,1,1,f,(CPC-noun (Jr------- *),2,0,0,1
10,15,داد,داد,Ncsp---,16,NounCOOR,CVC,1,3,c,(NPC (Ncsp------ *),2,0,1,0
10,16,و,و,Jr-,14,NounCOOR,CV,1,1,f,(Jr------- *)))),1,0,0,1
10,17,فریاد,فریاد,Ncsp---,16,NounCOOR,CVCCVC,2,5,c,(Ncsp------ *)))),1,0,2,0
10,18,.,.,Oe,8,PUNC,.,1,1,f,(Oe *))) ,1,0,0,1
11,1,به,به,E-,11,VMOD,CV,1,2,f,(ROOT (S (VPA (PPA (PPA (PPC (E------- *),7,0,0,1
11,2,یاد,یاد,Ncsp--z,1,POBJ,CVCV,2,3,c,(NPC (Ncsp----z- *),2,0,0,2
11,3,هفت-سین,***not found***هفت-سین***Nclp--z
11,4,خانه,خانه,Ncspk-z,3,NN,CVCVV,3,4,c,(NPC (Ncspk---z- *),2,0,0,1
11,5,خودمان,***not found***خودمان***Zx----4-
11,6,،,،,Oc,1,PUNC,،,1,1,f,(Cez--zloc *)),1,0,0,1
11,7,همه,***not found***همه***Zfs-----
11,8,دور,دور,Ncsp--z,11,NSUBJ,CVCV,2,3,c,(VPS (Zfs----- *),2,0,0,2
11,9,آن,***not found***آن***Tm-------
11,10,جمع,***not found***جمع***Ncsp---
11,11,می-شدیم,***not found***می-شدیم***Vpysloti---
11,12,.,.,Oe,11,PUNC,.,1,1,f,(Vpys-loti----- *)))),1,0,0,1
12,1,تنها,***not found***تنها***Dgps---
12,2,پدرم,پدر,Ncsp----1-,3,MWE,CVCVCVC,3,4,c,(VPF (VPSD-nid (VPC-nid (NPC (NPC (Ncsp------ *),6,0,1,2
12,3,بود,بودن,Vpyksht----,0,ROOT,CVC,1,3,c,(Cez--nsoc *)),1,0,1,0
12,4,که,که,J--,8,COMPM,CV,1,2,f,(Vpyk-sht------ *)),1,0,0,1
12,5,روی,***not found***روی***Ez
12,6,صندلی,صندلی,Ncsp--z,5,POBJ,CVCCVCVV,4,5,c,(DPC-nid (DPC (E------z *),3,0,1,1
12,7,می-نشست,***not found***می-نشست***Vpyk------n-3-
12,8,و,و,Jr-,3,VMOD,CV,1,1,f,(Vpyk------n-3- *)))),1,0,0,1
12,9,ساعت,ساعت,Ncspt-z,16,DOBJ,CVCVCV,3,4,c,(DiscE (CLR (Jr------- *),3,0,0,3
12,10,طلا,طلا,Ncsp---,9,NN,CVCV,2,3,c,(VPSD (VPC (NPC (NPC (Ncspt---z- *),5,0,0,2
12,11,را,را,P,9,ACC,CV,1,2,f,(Ncsp------ *)),1,0,0,1
12,12,از,از,E-,16,IDOBJ,CVC,1,2,f,(P *)),1,0,1,0
12,13,جیب,جیب,Ncsp--z,12,POBJ,CVCV,2,3,c,(VPC (PPC (E------- *),3,0,0,2
12,14,جلیقه-اش,***not found***جلیقه-اش***Ncsp----3-
12,15,بیرون,***not found***بیرون***Dgp-k--
12,16,می-آورد,-آوردن,Vpysshsi---,8,VerbCOOR,VCVCVCVCC,3,7,c,(Cez--nshv *)))),1,1,0,2
12,17,.,.,Oe,3,PUNC,.,1,1,f,(MV (Dgp-k-- *),2,0,0,1
13,1,نزدیک,***not found***نزدیک***Ez
