q,WordIndex,wordForm,Lemma,POS,DepRelation,DepType,PhonePattern,SyllableNumber,WordCharacter,POS type (functional/content),ConstituencyParsing,ConstituencyNumberOfNodes,CVCC Count,CVC Count,CV Count
1,1,زری,زری,Nasp---,5,NounCOOR,CVCV,2,3,c,(ROOT (S (NPA (Nasp------ *),4,0,0,2
1,2,سوار,سوار,Ncsp--z,1,NN,CVCVCV,3,4,c,(NPA (Ncsp----z- *),2,0,0,3
1,3,اسب,اسب,Ncsp--z,2,NN,CVCCV,2,3,c,(ADJPA (NUM (Ncsp----z- *),3,0,1,1
1,4,می-شود,***not found***می-شود***Aps-
1,5,و,و,Jr-,9,NSUBJ,CV,1,1,f,(Jr------- *),1,0,0,1
1,6,از,از,E-,5,PrepCOOR,CVC,1,2,f,(E------- *),1,0,1,0
1,7,مزارع,مزرعه,Nclpk-z,6,POBJ,CVCVCVCV,4,5,c,(Nclpk---z- *)),1,0,0,4
1,8,دروشده,***not found***دروشده***Aps-
1,9,می-گذرد,***not found***می-گذرد***Vpysshsi---
1,10,.,.,Oe,9,PUNC,.,1,1,f,(Oe *))) ,1,0,0,1
2,1,گندم-ها,گندم-,Nclp---,8,NSUBJ,CVCCVCC,3,7,c,(ROOT (S (VPS (NPA (Nclp------ *),5,1,1,0
2,2,مثل,***not found***مثل***Dgp-e-z
2,3,سیل,سیل,Ncsp--z,2,ADVCOMP,CVCV,2,3,c,(NPC (Ncsp----z- *),2,0,0,2
2,4,طلا,طلا,Ncsp---,3,NN,CVCV,2,3,c,(Ncsp------ *)))),1,0,0,2
2,5,روی,***not found***روی***Ez
2,6,هم,***not found***هم***Zc------
2,7,انبار,انبار,Ncspk--,8,MWE,CVCCVC,2,5,c,(MV (Ncspk----- *),2,0,2,0
2,8,شده,شدن,Vp------p--,0,ROOT,CVCV,2,3,c,(Vp-------p---- *)))),1,0,0,2
2,9,.,.,Oe,8,PUNC,.,1,1,f,(Oe *))) ,1,0,0,1
3,1,مردها,مرد,Nclp---,2,MWE,CVCCCV,2,5,c,(ROOT (S (VPSD (VPC-nid-DiscA (NPC-nid (NPA-nid (NPC (Nclp------ *),8,1,0,1
3,2,دارند,داشتن,Vpyslhs----,0,ROOT,CVCVCC,2,5,c,(PPC (Vpys-lhs------ *),2,1,0,1
3,3,کاه-ها,***not found***کاه-ها***Nclp---
3,4,را,را,P,3,ACC,CV,1,2,f,(P *)),1,0,0,1
3,5,جمع,***not found***جمع***Ncsp---
3,6,می-کنند,***not found***می-کنند***Vpyslhsi---
3,7,و,و,Jr-,2,COORCOMP,CV,1,1,f,(Jr------- *),1,0,0,1
3,8,با,با,E-,11,VMOD,CV,1,2,f,(NUM (E------- *),2,0,0,1
