q,WordIndex,wordForm,Lemma,POS,DepRelation,DepType,PhonePattern,SyllableNumber,WordCharacter,POS type (functional/content),ConstituencyParsing,ConstituencyNumberOfNodes,CVCC Count,CVC Count,CV Count
1,1,نخستین,***not found***نخستین***Uoa----
1,2,شعرهای,شعر,Nclp--z,18,NSUBJ,CVCCCVCVV,3,6,c,(Nclp----z- *),1,1,0,1
1,3,فارسی,فارسی,Nasp---,2,NN,CVCCCV,2,5,c,(Nasp------ *)),1,1,0,1
1,4,بعد,***not found***بعد***E-
1,5,از,از,E-,4,POBJ,CVC,1,2,f,(NPC (E------- *),2,0,1,0
1,6,ظهور,ظهور,Ncsp--z,5,POBJ,CVCVCV,3,4,c,(NPA (Ncsp----z- *),2,0,0,3
1,7,اسلام,اسلام,Ncsp---,6,NN,CVCCVC,2,5,c,(Ncsp------ *)))),1,0,2,0
1,8,،,،,Oc,2,PUNC,،,1,1,f,(Oc *)),1,0,0,1
1,9,در,در,E-,18,VMOD,CVC,1,2,f,(VPC-nid (NPA-nid (NPA-nid (NPA (E------- *),5,0,1,0
1,10,قرن,قرن,Ncspt-z,9,POBJ,CVCCV,2,3,c,(ADJPA (Ncspt---z- *),2,0,1,1
1,11,سوم,***not found***سوم***Uoa--z-
1,12,هجری/,***not found***هجری/***Ncsp--z
1,13,نهم,نهم,Uoa--z-,12,NUM,CVCVCV,3,3,f,(DPC-nid (DPC (Uoa----z- *),3,0,0,3
1,14,میلادی,میلادی,Aps-,12,NMOD,CVCVCV,3,6,c,(As--- *))))),1,0,0,3
1,15,،,،,Oc,9,PUNC,،,1,1,f,(Oc *)),1,0,0,1
1,16,در,در,E-,18,MWE,CVC,1,2,f,(E------- *)))),1,0,1,0
1,17,خراسان,خراسان,Naspk--,16,POBJ,CVCVCVC,3,6,c,(DiscE (MN (Naspk----- *),3,0,1,2
1,18,سروده,سرودن,Vp------p--,0,ROOT,CVCVCV,3,5,c,(Vp-------p---- *),1,0,0,3
1,19,شد,شدن,Vpyssht----,18,MWE,CVC,1,2,c,(Vpys-sht------ *)))),1,0,1,0
1,20,.,.,Oe,18,PUNC,.,1,1,f,(Oe *))) ,1,0,0,1
2,1,دوره,دوره,Ncsp--z,21,NSUBJ,CVCVV,3,4,c,(ROOT (S (VPF (DiscE (PPC (Ncsp----z- *),6,0,0,1
2,2,ساسانیان,ساسان,Nalp---,1,NN,CVCVCVC,4,8,c,(CPC-adj (Nalp------ *),2,0,1,2
2,3,مخصوصاٌ,***not found***مخصوصاٌ***Ncsp---
2,4,در,در,E-,21,VMOD,CVC,1,2,f,(E------- *))))),1,0,1,0
2,5,قرن,قرن,Ncspt-z,4,POBJ,CVCCV,2,3,c,(VPA-nid (Ncspt---z- *),2,0,1,1
2,6,چهارم,چهارم,Uoa----,5,NUM,CVCVCVC,3,5,f,(VPF-nid (VPS-nid-nid (NPA (Uoa------ *),4,0,1,2
2,7,بهترین,به,Apu-,8,NMOD,CVCCVCVC,3,6,c,(ADJ (Au--- *),2,0,2,1
2,8,دوره,دوره,Ncsp--z,14,NounCOOR,CVCVV,3,4,c,(Ncsp----z- *),1,0,0,1
2,9,رواج,رواج,Ncsp--z,8,NN,CVCVCV,3,4,c,(Ncsp----z- *))),1,0,0,3
2,10,زبان,زبان,Ncsp---,11,NounCOOR,CVCVC,2,4,c,(VPC-nid-nid (CPC-noun-nid-nid (CPC-noun-nid (Ncsp------ *),4,0,1,1
2,11,و,و,Jr-,9,NN,CV,1,1,f,(NPC-nid (Jr------- *)))),2,0,0,1
2,12,ادبیات,ادبیات,Ncsp--z,11,NounCOOR,CVCVCVCCVCV,5,6,c,(Ncsp----z- *))),1,0,1,4
2,13,فارسی,فارسی,Nasp---,12,NN,CVCCCV,2,5,c,(DiscE (PPC (Nasp------ *),3,1,0,1
2,14,و,و,Jr-,21,COORCOMP,CV,1,1,f,(CPC-adj (ADJPA (ADJ (Jr------- *),4,0,0,1
2,15,سرشار,سرشار,Aps-,14,AdjCOOR,CVCCVC,2,5,c,(As--- *),1,0,2,0
2,16,از,از,E-,15,ADJCOMP,CVC,1,2,f,(E------- *)),1,0,1,0
2,17,روح,روح,Ncsp---,18,NounCOOR,CVC,1,3,c,(ADJ (Ncsp------ *),2,0,1,0
2,18,و,و,Jr-,16,POBJ,CV,1,1,f,(Jr------- *),1,0,0,1
