q,WordIndex,wordForm,Lemma,POS,DepRelation,DepType,PhonePattern,SyllableNumber,WordCharacter,POS type (functional/content),ConstituencyParsing,ConstituencyNumberOfNodes,CVCC Count,CVC Count,CV Count
1,1,نه,***not found***نه***Dgn----
1,2,،,،,Oc,1,PUNC,،,1,1,f,(Oc *)),1,0,0,1
1,3,من,***not found***من***Zrso----
1,4,هرگز,هرگز,Dgn----,9,VMOD,CVCCVC,2,4,c,(VPA (Dgn---- *),2,0,2,0
1,5,آقای,آقا,Naspf-z,9,DOBJ,CVCVCV,3,4,c,(VPC (DPC (DPC (Naspf---z- *),4,0,0,3
1,6,خردمند,خردمند,Nasp---,5,NN,CVCVCC,3,6,c,(Nasp------ *)),1,1,0,1
1,7,را,را,P,5,ACC,CV,1,2,f,(P *)),1,0,0,1
1,8,فراموش,***not found***فراموش***Aps-
1,9,نمی-کنم,***not found***نمی-کنم***Vnysso--u--
1,10,.,.,Oe,9,PUNC,.,1,1,f,(Oe *))) ,1,0,0,1
2,1,سالهاست,***not found***سالهاست***Vpyk------n-3-
2,2,که,که,J--,22,COMPM,CV,1,2,f,(Cevpknshv *))),1,0,0,1
2,3,او,***not found***او***Zrsh----
2,4,را,را,P,3,ACC,CV,1,2,f,(VPSD (VPC (NPC (Zrsh---- *),4,0,0,1
2,5,ندیده-ام,***not found***ندیده-ام***Vnysso--u--
2,6,،,،,Oc,22,NSUBJ,،,1,1,f,(VPA (Vnys-so--u---- *),2,0,0,1
2,7,در,در,E-,16,VMOD,CVC,1,2,f,(VPA (Oc *),2,0,1,0
2,8,آن,***not found***آن***Tm-------
2,9,وقت,وقت,Ncsp---,8,DETCOMP,CVCC,1,3,c,(DPC (Tm------- *),2,1,0,0
2,10,من,***not found***من***Zrso----
2,11,در,در,E-,16,VMOD,CVC,1,2,f,(VPA (CL-nid-DiscA (CL-nid-DiscA (VPS-DiscA (Zrso---- *),5,0,1,0
2,12,کلاس,کلاس,Ncspk-z,11,POBJ,CVCVCV,3,4,c,(VPC-DiscA (DiscA (E------- *)),3,0,0,3
2,13,سوم,***not found***سوم***Uoa--z-
2,14,دبستان,دبستان,Ncspk--,12,NN,CVCVCCVC,3,6,c,(Uoa----z- *)),1,0,2,1
2,15,درس,درس,Ncsp---,16,MWE,CVCC,1,3,c,(Ncspk----- *)),1,1,0,0
2,16,می-خواندم,***not found***می-خواندم***Vpyssoti---
2,17,،,،,Oc,6,PUNC,،,1,1,f,(Vpys-soti----- *)))))),1,0,0,1
2,18,آقای,آقا,Naspf-z,19,APPOS,CVCVCV,3,4,c,(Oc *)),1,0,0,3
2,19,خردمند,خردمند,Nasp---,22,NSUBJ,CVCVCC,3,6,c,(VPSD (VPC (ADJPC (Naspf---z- *),4,1,0,1
2,20,معلم,معلم,Ncsp--z,19,NN,CVCVCCVCV,4,4,c,(PPC (Nasp------ *),2,0,1,3
2,21,من,***not found***من***Zrso----
2,22,بود,بودن,Vpyksht----,1,COMP,CVC,1,3,c,(Zrso---- *)))),1,0,1,0
2,23,.,.,Oe,1,PUNC,.,1,1,f,(Vpyk-sht------ *)))))))))))),1,0,0,1
3,1,من,***not found***من***Zrso----
3,2,،,،,Oc,1,PUNC,،,1,1,f,(VPA (ADVPC (Oc *),3,0,0,1
3,3,پیش,***not found***پیش***Dgps---
3,4,از,از,E-,11,IDOBJ,CVC,1,2,f,(NPA (NPA (E------- *),3,0,1,0
3,5,آقای,آقا,Naspf-z,4,POBJ,CVCVCV,3,4,c,(Naspf---z- *)),1,0,0,3
3,6,خردمند,خردمند,Nasp---,5,NN,CVCVCC,3,6,c,(N (Nasp------ *),2,1,0,1
3,7,،,،,Oc,4,PUNC,،,1,1,f,(Oc *))))),1,0,0,1
3,8,معلم-های,معلم-,Nclp--z,11,MWE,CVCVCCVCVCV,5,8,c,(MV (PPC (Nclp----z- *),3,0,1,4
3,9,دیگری,***not found***دیگری***Zfs---y-
3,10,هم,هم,J--,8,NMOD,CVC,1,2,f,(J-------- *)))),1,0,1,0
3,11,داشتم,داشتن,Vpyssot----,0,ROOT,CVCCVC,2,5,c,(Vpys-sot------ *)),1,0,2,0
3,12,.,.,Oe,11,PUNC,.,1,1,f,(Oe *))) ,1,0,0,1
4,1,بعد,***not found***بعد***E-
4,2,از,از,E-,4,CC,CVC,1,2,f,(NPC (E------- *),2,0,1,0
4,3,او,***not found***او***Zrsh----
4,4,هم,هم,J--,1,POBJ,CVC,1,2,f,(VPC (PPC (J-------- *),3,0,1,0
4,5,معلم-های,معلم-,Nclp--z,4,NounCOOR,CVCVCCVCVCV,5,8,c,(Nclp----z- *)),1,0,1,4
4,6,دیگری,***not found***دیگری***Zfs---y-
4,7,داشته-ام,***not found***داشته-ام***Bas--
4,8,.,.,Oe,1,PUNC,.,1,1,f,(Oe *))) ,1,0,0,1
5,1,ولی,ولی,Jr-,0,ROOT,CVCV,2,3,f,(ROOT (S (VPS (NPA (NPA (Jr------- *),6,0,0,2
5,2,هنوز,هنوز,Dgps---,19,VMOD,CVCVC,2,4,c,(Dgps--- *)),1,0,1,1
5,3,،,،,Oc,2,PUNC,،,1,1,f,(Oc *)),1,0,0,1
5,4,هر,***not found***هر***Tf-------
5,5,وقت,وقت,Ncsp---,4,DETCOMP,CVCC,1,3,c,(PPC (Ncsp------ *),2,1,0,0
5,6,که,که,J--,14,RELSUBJ,CV,1,2,f,(NPA (J-------- *),2,0,0,1
5,7,درباره,درباره,Ez,14,VMOD,CVCCVCVCVV,4,6,f,(CPC-adj (E------z *),2,0,1,2
5,8,مدرسه,مدرسه,Ncspk--,9,NounCOOR,CVCCVCV,3,5,c,(CPC-adj (Ncspk----- *),2,0,1,2
5,9,و,و,Jr-,7,POBJ,CV,1,1,f,(Jr------- *)))))),1,0,0,1
5,10,درس,درس,Ncsp---,11,NounCOOR,CVCC,1,3,c,(VPA (MADV (NUM (Ncsp------ *),4,1,0,0
5,11,و,و,Jr-,9,NounCOOR,CV,1,1,f,(Jr------- *),1,0,0,1
5,12,معلم,معلم,Ncsp---,11,NounCOOR,CVCVCCVC,3,4,c,(NUM (Ncsp------ *),2,0,2,1
5,13,فکر,فکر,Ncsp---,14,MWE,CVCC,1,3,c,(Ncsp------ *),1,1,0,0
5,14,می-کنم,***not found***می-کنم***Vpyssosi---
5,15,به,به,E-,19,IDOBJ,CV,1,2,f,(E------- *))),1,0,0,1
5,16,یاد,یاد,Ncsp--z,15,POBJ,CVCV,2,3,c,(Ncsp----z- *)),1,0,0,2
5,17,آقای,آقا,Naspf-z,16,NN,CVCVCV,3,4,c,(MV (PPC (Naspf---z- *),3,0,0,3
5,18,خردمند,خردمند,Nasp---,19,MWE,CVCVCC,3,6,c,(Nasp------ *)),1,1,0,1
5,19,می-افتم,***not found***می-افتم***Vpyssoti---
5,20,.,.,Oe,1,PUNC,.,1,1,f,(Oe *))) ,1,0,0,1
6,1,آقای,آقا,Naspf-z,17,NSUBJ,CVCVCV,3,4,c,(ROOT (S (VPS (NPA (NPA (Naspf---z- *),6,0,0,3
6,2,خردمند,خردمند,Nasp---,1,NN,CVCVCC,3,6,c,(Nasp------ *)),1,1,0,1
6,3,،,،,Oc,1,PUNC,،,1,1,f,(Oc *)),1,0,0,1
6,4,در,در,E-,17,VMOD,CVC,1,2,f,(VPA (PPC (E------- *),3,0,1,0
6,5,آن,***not found***آن***Tm-------
6,6,سال,سال,Ncspt--,5,DETCOMP,CVC,1,3,c,(Ncspt----- *))),1,0,1,0
