q,WordIndex,wordForm,Lemma,POS,DepRelation,DepType,PhonePattern,SyllableNumber,WordCharacter,POS type (functional/content),ConstituencyParsing,ConstituencyNumberOfNodes,CVCC Count,CVC Count,CV Count
1,1,ما,***not found***ما***Zrlo----
1,2,فردا,فردا,Dgp-t--,7,VMOD,CVCCV,2,4,c,(VPC-DiscA (DiscA (Dgp-t-- *)),3,0,1,1
1,3,به,به,E-,7,IDOBJ,CV,1,2,f,(VPC (DPC (DPC (E------- *),4,0,0,1
1,4,یک,یک,Urns---,5,NUM,CVC,1,2,f,(NPA (Urns----- *),2,0,1,0
1,5,خانه,خانه,Ncspk-z,3,POBJ,CVCVV,3,4,c,(Ncspk---z- *))),1,0,0,1
1,6,جدید,جدید,Aps-,5,NMOD,CVCVC,2,4,c,(As--- *)),1,0,1,1
1,7,خواهیم,خواستن,Vpx-lou----,0,ROOT,CVCCVC,2,6,c,(MV (Vpx--lou------ *),2,0,2,0
1,8,رفت,رفتن,Vpyssht----,7,MWE,CVCC,1,3,c,(Vpys-sht------ *)))))),1,1,0,0
1,9,.,.,Oe,7,PUNC,.,1,1,f,(Oe *))) ,1,0,0,1
2,1,خانه,خانه,Ncspk-z,9,NSUBJ,CVCVV,3,4,c,(ROOT (S (CL (CONJ (Ncspk---z- *),5,0,0,1
2,2,جدید,جدید,Apsz,1,NMOD,CVCVCV,3,4,c,(As-z- *)),1,0,0,3
2,3,ما,***not found***ما***Zrlo----
2,4,یک,یک,Urns---,5,NUM,CVC,1,2,f,(VPC (NPA-nid-DiscA (NPA-nid (NUM-nid (Urns----- *)),5,0,1,0
2,5,آپارتمان,آپارتمان,Ncspk--,9,COPCOMP,CVCVCCVCVC,4,8,c,(Ncspk----- *)),1,0,2,2
2,6,در,در,E-,5,NMOD,CVC,1,2,f,(DiscA (NUM (E------- *),3,0,1,0
2,7,طبقه,طبقه,Ncsp--z,6,POBJ,CVCVCVV,4,4,c,(Ncsp----z- *)))),1,0,0,2
2,8,سوم,***not found***سوم***Uoa----
2,9,است,بودن,Vpykshs----,0,ROOT,CVCC,1,3,c,(Vpyk-shs------ *))))),1,1,0,0
2,10,.,.,Oe,9,PUNC,.,1,1,f,(Oe *))) ,1,0,0,1
3,1,این,***not found***این***Tm-------
3,2,آپارتمان,آپارتمان,Ncspk--,1,DETCOMP,CVCVCCVCVC,4,8,c,(Ncspk----- *)),1,0,2,2
3,3,را,را,P,1,ACC,CV,1,2,f,(P *)),1,0,0,1
3,4,آقای,آقا,Naspf-z,9,NSUBJ,CVCVCV,3,4,c,(Naspf---z- *))),1,0,0,3
3,5,جمالی,جمالی,Nasp---,4,NN,CVCVCV,3,5,c,(DiscE (CLR (Nasp------ *),3,0,0,3
3,6,برای,برای,Ez,9,VMOD,CVCVCVV,3,4,f,(VPS (NPC (E------z *),3,0,0,2
3,7,ما,***not found***ما***Zrlo----
3,8,پیدا,پیدا,Aps-,9,MWE,CVCCV,2,4,c,(MV (As--- *),2,0,1,1
3,9,کرد,کردن,Vpyssht----,0,ROOT,CVCC,1,3,c,(Vpys-sht------ *)))))),1,1,0,0
