q,WordIndex,wordForm,Lemma,POS,DepRelation,DepType,PhonePattern,SyllableNumber,WordCharacter,POS type (functional/content),ConstituencyParsing,ConstituencyNumberOfNodes,CVCC Count,CVC Count,CV Count
1,1,یک,یک,Urns---,2,NUM,CVC,1,2,f,(ROOT (S (VPS (NPA (Urns----- *),5,0,1,0
1,2,سال,سال,Ncspt--,5,NSUBJ,CVC,1,3,c,(ADJ (Ncspt----- *),2,0,1,0
1,3,چهار,چهار,Urns---,2,NUM,CVCVC,2,4,f,(Urns----- *),1,0,1,1
1,4,فصل,فصل,Ncspt--,5,MWE,CVCC,1,3,c,(Ncspt----- *))),1,1,0,0
1,5,دارد,داشتن,Vpysshs----,0,ROOT,CVCVC,2,4,c,(VPC (Vpys-shs------ *),2,0,1,1
1,6,:,:,Oo,5,PUNC,:,1,1,f,(VPS (Oo *),2,0,0,1
1,7,بهار,بهار,Ncspe--,8,NounCOOR,CVCVC,2,4,c,(VPS (N (Ncspe----- *),3,0,1,1
1,8,،,،,Oc,6,NounCOOR,،,1,1,f,(Oc *)),1,0,0,1
1,9,تابستان,تابستان,Ncspe--,10,NounCOOR,CVCVCCVC,3,7,c,(VPC (NPA (NUM (Ncspe----- *),4,0,2,1
1,10,،,،,Oc,8,NounCOOR,،,1,1,f,(Oc *),1,0,0,1
1,11,پاییز,پاییز,Ncspe--,12,NounCOOR,CVCVC,2,5,c,(Ncspe----- *)),1,0,1,1
1,12,و,و,Jr-,10,NounCOOR,CV,1,1,f,(Jr------- *)),1,0,0,1
1,13,زمستان,زمستان,Ncspe--,12,NounCOOR,CVCVCCVC,3,6,c,(Ncspe----- *)))))),1,0,2,1
1,14,.,.,Oe,5,PUNC,.,1,1,f,(Oe *))) ,1,0,0,1
2,1,هوای,هوا,Ncsp--z,6,NSUBJ,CVCVCV,3,4,c,(ROOT (S (NPA (Ncsp----z- *),4,0,0,3
2,2,بهار,بهار,Ncspe--,3,NounCOOR,CVCVC,2,4,c,(NPA (Ncspe----- *),2,0,1,1
2,3,و,و,Jr-,1,NN,CV,1,1,f,(CPC-adj (Jr------- *),2,0,0,1
2,4,پاییز,پاییز,Ncspe--,3,NounCOOR,CVCVC,2,5,c,(CPC-adj (Ncspe----- *),2,0,1,1
2,5,معتدل,معتدل,Aps-,4,NMOD,CVCCVCVC,3,5,c,(As--- *)))),1,0,2,1
2,6,است,بودن,Vpykshs----,0,ROOT,CVCC,1,3,c,(Vpyk-shs------ *)),1,1,0,0
2,7,.,.,Oe,6,PUNC,.,1,1,f,(Oe *))) ,1,0,0,1
3,1,هوای,هوا,Ncsp--z,4,NSUBJ,CVCVCV,3,4,c,(ROOT (S (NPA (Ncsp----z- *),4,0,0,3
3,2,تابستان,تابستان,Ncspe--,1,NN,CVCVCCVC,3,7,c,(NPA (Ncspe----- *),2,0,2,1
3,3,گرم,گرم,Aps-,2,NMOD,CVCC,1,3,c,(As--- *)),1,1,0,0
3,4,است,بودن,Vpykshs----,0,ROOT,CVCC,1,3,c,(Vpyk-shs------ *)),1,1,0,0
3,5,.,.,Oe,4,PUNC,.,1,1,f,(Oe *))) ,1,0,0,1
4,1,هوای,هوا,Ncsp--z,4,NSUBJ,CVCVCV,3,4,c,(ROOT (S (NPA (Ncsp----z- *),4,0,0,3
4,2,زمستان,زمستان,Ncspe--,1,NN,CVCVCCVC,3,6,c,(NPA (Ncspe----- *),2,0,2,1
4,3,سرد,سرد,Aps-,2,NMOD,CVCC,1,3,c,(As--- *)),1,1,0,0
4,4,است,بودن,Vpykshs----,0,ROOT,CVCC,1,3,c,(Vpyk-shs------ *)),1,1,0,0
4,5,.,.,Oe,4,PUNC,.,1,1,f,(Oe *))) ,1,0,0,1
5,1,هر,***not found***هر***Tf-------
5,2,فصل,فصل,Ncsp---,1,DETCOMP,CVCC,1,3,c,(PPC (Ncsp------ *),2,1,0,0
5,3,سه,سه,Urns---,4,NUM,CV,1,2,f,(NPA (Urns----- *),2,0,0,1
5,4,ماه,ماه,Ncspt--,5,MWE,CVC,1,3,c,(Ncspt----- *)))),1,0,1,0
5,5,دارد,داشتن,Vpysshs----,0,ROOT,CVCVC,2,4,c,(VPC (Vpys-shs------ *),2,0,1,1
5,6,:,:,Oo,14,PUNC,:,1,1,f,(VPS (Oo *),2,0,0,1
5,7,فروردین,فروردین,Naspm--,8,NounCOOR,CVCCVCCVC,3,7,c,(VPS (N (Naspm----- *),3,0,3,0
5,8,،,،,Oc,14,NSUBJ,،,1,1,f,(Oc *)),1,0,0,1
5,9,اردیبهشت,اردیبهشت,Naspm--,10,NounCOOR,CVCCVCVCVCC,4,8,c,(VPC (NPA-nid-DiscA (NPA-nid (NUM-nid (Naspm----- *)),5,1,1,2
5,10,و,و,Jr-,8,NounCOOR,CV,1,1,f,(Jr------- *)),1,0,0,1
5,11,خرداد,خرداد,Naspm--,10,NounCOOR,CVCCVC,2,5,c,(DiscA (NUM (Naspm----- *),3,0,2,0
5,12,ماه-های,ماه-,Nclp--z,14,MWE,CVCCVCVV,3,7,c,(Nclp----z- *)))),1,0,1,1
5,13,بهار,بهار,Ncspe--,12,NN,CVCVC,2,4,c,(MV (Ncspe----- *),2,0,1,1
5,14,هستند,بودن,Vpyklhs----,5,CCOMP,CVCCVCC,2,5,c,(Vpyk-lhs------ *))))))),1,1,1,0
5,15,.,.,Oe,5,PUNC,.,1,1,f,(Oe *))) ,1,0,0,1
6,1,تیر,تیر,Naspm--,2,NounCOOR,CVC,1,3,c,(ROOT (S (CL-nid-DiscA (VPS-DiscA (N (Naspm----- *),6,0,1,0
6,2,،,،,Oc,8,NSUBJ,،,1,1,f,(Oc *)),1,0,0,1
6,3,مرداد,مرداد,Naspm--,4,NounCOOR,CVCCVC,2,5,c,(VPC-DiscA (DiscA (Naspm----- *)),3,0,2,0
6,4,و,و,Jr-,2,NounCOOR,CV,1,1,f,(VPC (DPC (DPC (Jr------- *),4,0,0,1
6,5,شهریور,شهریور,Naspm--,4,NounCOOR,CVCCVCVC,3,6,c,(Naspm----- *)),1,0,2,1
6,6,ماه-های,ماه-,Nclp--z,5,NN,CVCCVCVV,3,7,c,(Nclp----z- *)),1,0,1,1
6,7,تابستان,تابستان,Ncspe--,8,MWE,CVCVCCVC,3,7,c,(MV (Ncspe----- *),2,0,2,1
6,8,هستند,بودن,Vpyklhs----,0,ROOT,CVCCVCC,2,5,c,(Vpyk-lhs------ *)))))),1,1,1,0
6,9,.,.,Oe,8,PUNC,.,1,1,f,(Oe *))) ,1,0,0,1
7,1,مهر,مهر,Naspm--,2,NounCOOR,CVCC,1,3,c,(ROOT (S (CL-nid-DiscA (VPS-DiscA (N (Naspm----- *),6,1,0,0
7,2,،,،,Oc,8,NSUBJ,،,1,1,f,(Oc *)),1,0,0,1
7,3,آبان,آبان,Naspm--,4,NounCOOR,CVCVC,2,4,c,(VPC-DiscA (DiscA (Naspm----- *)),3,0,1,1
7,4,و,و,Jr-,2,NounCOOR,CV,1,1,f,(VPC (DPC (DPC (Jr------- *),4,0,0,1
7,5,آذر,آذر,Naspm--,4,NounCOOR,CVCVC,2,3,c,(Naspm----- *)),1,0,1,1
7,6,ماه-های,ماه-,Nclp--z,5,NN,CVCCVCVV,3,7,c,(Nclp----z- *)),1,0,1,1
7,7,پاییز,پاییز,Ncspe--,8,MWE,CVCVC,2,5,c,(MV (Ncspe----- *),2,0,1,1
7,8,هستند,بودن,Vpyklhs----,0,ROOT,CVCCVCC,2,5,c,(Vpyk-lhs------ *)))))),1,1,1,0
7,9,.,.,Oe,8,PUNC,.,1,1,f,(Oe *))) ,1,0,0,1
8,1,دی,دی,Naspm--,2,NounCOOR,CVC,1,2,c,(ROOT (S (CL-nid-DiscA (VPS-DiscA (N (Naspm----- *),6,0,1,0
8,2,،,،,Oc,8,NSUBJ,،,1,1,f,(Oc *)),1,0,0,1
8,3,بهمن,بهمن,Naspm--,4,NounCOOR,CVCCVC,2,4,c,(VPC-DiscA (DiscA (Naspm----- *)),3,0,2,0
8,4,و,و,Jr-,2,NounCOOR,CV,1,1,f,(VPC (DPC (DPC (Jr------- *),4,0,0,1
8,5,اسفند,اسفند,Naspm--,4,NounCOOR,CVCCVCC,2,5,c,(Naspm----- *)),1,1,1,0
8,6,ماه-های,ماه-,Nclp--z,5,NN,CVCCVCVV,3,7,c,(Nclp----z- *)),1,0,1,1
8,7,زمستان,زمستان,Ncspe--,8,MWE,CVCVCCVC,3,6,c,(MV (Ncspe----- *),2,0,2,1
8,8,هستند,بودن,Vpyklhs----,0,ROOT,CVCCVCC,2,5,c,(Vpyk-lhs------ *)))))),1,1,1,0
8,9,.,.,Oe,8,PUNC,.,1,1,f,(Oe *))) ,1,0,0,1
9,1,یک,یک,Urns---,2,NUM,CVC,1,2,f,(ROOT (S (VPS (NPA (Urns----- *),5,0,1,0
9,2,سال,سال,Ncspt--,5,NSUBJ,CVC,1,3,c,(ADJ (Ncspt----- *),2,0,1,0
9,3,چهار,چهار,Urns---,2,NUM,CVCVC,2,4,f,(Urns----- *),1,0,1,1
9,4,فصل,فصل,Ncspt--,5,MWE,CVCC,1,3,c,(Ncspt----- *))),1,1,0,0
9,5,دارد,داشتن,Vpysshs----,0,ROOT,CVCVC,2,4,c,(VPC (Vpys-shs------ *),2,0,1,1
9,6,:,:,Oo,5,PUNC,:,1,1,f,(VPS (Oo *),2,0,0,1
9,7,بهار,بهار,Ncspe--,8,NounCOOR,CVCVC,2,4,c,(VPS (N (Ncspe----- *),3,0,1,1
9,8,،,،,Oc,6,NounCOOR,،,1,1,f,(Oc *)),1,0,0,1
9,9,تابستان,تابستان,Ncspe--,10,NounCOOR,CVCVCCVC,3,7,c,(VPC (NPA (NUM (Ncspe----- *),4,0,2,1
9,10,،,،,Oc,8,NounCOOR,،,1,1,f,(Oc *),1,0,0,1
9,11,پاییز,پاییز,Ncspe--,12,NounCOOR,CVCVC,2,5,c,(Ncspe----- *)),1,0,1,1
9,12,و,و,Jr-,10,NounCOOR,CV,1,1,f,(Jr------- *)),1,0,0,1
9,13,زمستان,زمستان,Ncspe--,12,NounCOOR,CVCVCCVC,3,6,c,(Ncspe----- *)))))),1,0,2,1
9,14,.,.,Oe,5,PUNC,.,1,1,f,(Oe *))) ,1,0,0,1
10,1,هوای,هوا,Ncsp--z,6,NSUBJ,CVCVCV,3,4,c,(ROOT (S (NPA (Ncsp----z- *),4,0,0,3
10,2,بهار,بهار,Ncspe--,3,NounCOOR,CVCVC,2,4,c,(NPA (Ncspe----- *),2,0,1,1
10,3,و,و,Jr-,1,NN,CV,1,1,f,(CPC-adj (Jr------- *),2,0,0,1
10,4,پاییز,پاییز,Ncspe--,3,NounCOOR,CVCVC,2,5,c,(CPC-adj (Ncspe----- *),2,0,1,1
10,5,معتدل,معتدل,Aps-,4,NMOD,CVCCVCVC,3,5,c,(As--- *)))),1,0,2,1
10,6,است,بودن,Vpykshs----,0,ROOT,CVCC,1,3,c,(Vpyk-shs------ *)),1,1,0,0
10,7,.,.,Oe,6,PUNC,.,1,1,f,(Oe *))) ,1,0,0,1
11,1,هوای,هوا,Ncsp--z,4,NSUBJ,CVCVCV,3,4,c,(ROOT (S (NPA (Ncsp----z- *),4,0,0,3
11,2,تابستان,تابستان,Ncspe--,1,NN,CVCVCCVC,3,7,c,(NPA (Ncspe----- *),2,0,2,1
11,3,گرم,گرم,Aps-,2,NMOD,CVCC,1,3,c,(As--- *)),1,1,0,0
11,4,است,بودن,Vpykshs----,0,ROOT,CVCC,1,3,c,(Vpyk-shs------ *)),1,1,0,0
11,5,.,.,Oe,4,PUNC,.,1,1,f,(Oe *))) ,1,0,0,1
12,1,هوای,هوا,Ncsp--z,4,NSUBJ,CVCVCV,3,4,c,(ROOT (S (NPA (Ncsp----z- *),4,0,0,3
12,2,زمستان,زمستان,Ncspe--,1,NN,CVCVCCVC,3,6,c,(NPA (Ncspe----- *),2,0,2,1
12,3,سرد,سرد,Aps-,2,NMOD,CVCC,1,3,c,(As--- *)),1,1,0,0
12,4,است,بودن,Vpykshs----,0,ROOT,CVCC,1,3,c,(Vpyk-shs------ *)),1,1,0,0
12,5,.,.,Oe,4,PUNC,.,1,1,f,(Oe *))) ,1,0,0,1
13,1,هر,***not found***هر***Tf-------
13,2,فصل,فصل,Ncsp---,1,DETCOMP,CVCC,1,3,c,(PPC (Ncsp------ *),2,1,0,0
13,3,سه,سه,Urns---,4,NUM,CV,1,2,f,(NPA (Urns----- *),2,0,0,1
13,4,ماه,ماه,Ncspt--,5,MWE,CVC,1,3,c,(Ncspt----- *)))),1,0,1,0
13,5,دارد,داشتن,Vpysshs----,0,ROOT,CVCVC,2,4,c,(VPC (Vpys-shs------ *),2,0,1,1
13,6,:,:,Oo,14,PUNC,:,1,1,f,(VPS (Oo *),2,0,0,1
13,7,فروردین,فروردین,Naspm--,8,NounCOOR,CVCCVCCVC,3,7,c,(VPS (N (Naspm----- *),3,0,3,0
13,8,،,،,Oc,14,NSUBJ,،,1,1,f,(Oc *)),1,0,0,1
13,9,اردیبهشت,اردیبهشت,Naspm--,10,NounCOOR,CVCCVCVCVCC,4,8,c,(VPC (NPA-nid-DiscA (NPA-nid (NUM-nid (Naspm----- *)),5,1,1,2
13,10,و,و,Jr-,8,NounCOOR,CV,1,1,f,(Jr------- *)),1,0,0,1
13,11,خرداد,خرداد,Naspm--,10,NounCOOR,CVCCVC,2,5,c,(DiscA (NUM (Naspm----- *),3,0,2,0
13,12,ماه-های,ماه-,Nclp--z,14,MWE,CVCCVCVV,3,7,c,(Nclp----z- *)))),1,0,1,1
13,13,بهار,بهار,Ncspe--,12,NN,CVCVC,2,4,c,(MV (Ncspe----- *),2,0,1,1
13,14,هستند,بودن,Vpyklhs----,5,CCOMP,CVCCVCC,2,5,c,(Vpyk-lhs------ *))))))),1,1,1,0
13,15,.,.,Oe,5,PUNC,.,1,1,f,(Oe *))) ,1,0,0,1
14,1,تیر,تیر,Naspm--,2,NounCOOR,CVC,1,3,c,(ROOT (S (CL-nid-DiscA (VPS-DiscA (N (Naspm----- *),6,0,1,0
14,2,،,،,Oc,8,NSUBJ,،,1,1,f,(Oc *)),1,0,0,1
14,3,مرداد,مرداد,Naspm--,4,NounCOOR,CVCCVC,2,5,c,(VPC-DiscA (DiscA (Naspm----- *)),3,0,2,0
14,4,و,و,Jr-,2,NounCOOR,CV,1,1,f,(VPC (DPC (DPC (Jr------- *),4,0,0,1
14,5,شهریور,شهریور,Naspm--,4,NounCOOR,CVCCVCVC,3,6,c,(Naspm----- *)),1,0,2,1
14,6,ماه-های,ماه-,Nclp--z,5,NN,CVCCVCVV,3,7,c,(Nclp----z- *)),1,0,1,1
14,7,تابستان,تابستان,Ncspe--,8,MWE,CVCVCCVC,3,7,c,(MV (Ncspe----- *),2,0,2,1
14,8,هستند,بودن,Vpyklhs----,0,ROOT,CVCCVCC,2,5,c,(Vpyk-lhs------ *)))))),1,1,1,0
14,9,.,.,Oe,8,PUNC,.,1,1,f,(Oe *))) ,1,0,0,1
15,1,مهر,مهر,Naspm--,2,NounCOOR,CVCC,1,3,c,(ROOT (S (CL-nid-DiscA (VPS-DiscA (N (Naspm----- *),6,1,0,0
15,2,،,،,Oc,8,NSUBJ,،,1,1,f,(Oc *)),1,0,0,1
15,3,آبان,آبان,Naspm--,4,NounCOOR,CVCVC,2,4,c,(VPC-DiscA (DiscA (Naspm----- *)),3,0,1,1
15,4,و,و,Jr-,2,NounCOOR,CV,1,1,f,(VPC (DPC (DPC (Jr------- *),4,0,0,1
15,5,آذر,آذر,Naspm--,4,NounCOOR,CVCVC,2,3,c,(Naspm----- *)),1,0,1,1
15,6,ماه-های,ماه-,Nclp--z,5,NN,CVCCVCVV,3,7,c,(Nclp----z- *)),1,0,1,1
15,7,پاییز,پاییز,Ncspe--,8,MWE,CVCVC,2,5,c,(MV (Ncspe----- *),2,0,1,1
15,8,هستند,بودن,Vpyklhs----,0,ROOT,CVCCVCC,2,5,c,(Vpyk-lhs------ *)))))),1,1,1,0
15,9,.,.,Oe,8,PUNC,.,1,1,f,(Oe *))) ,1,0,0,1
16,1,دی,دی,Naspm--,2,NounCOOR,CVC,1,2,c,(ROOT (S (CL-nid-DiscA (VPS-DiscA (N (Naspm----- *),6,0,1,0
16,2,،,،,Oc,8,NSUBJ,،,1,1,f,(Oc *)),1,0,0,1
16,3,بهمن,بهمن,Naspm--,4,NounCOOR,CVCCVC,2,4,c,(VPC-DiscA (DiscA (Naspm----- *)),3,0,2,0
16,4,و,و,Jr-,2,NounCOOR,CV,1,1,f,(VPC (DPC (DPC (Jr------- *),4,0,0,1
16,5,اسفند,اسفند,Naspm--,4,NounCOOR,CVCCVCC,2,5,c,(Naspm----- *)),1,1,1,0
16,6,ماه-های,ماه-,Nclp--z,5,NN,CVCCVCVV,3,7,c,(Nclp----z- *)),1,0,1,1
16,7,زمستان,زمستان,Ncspe--,8,MWE,CVCVCCVC,3,6,c,(MV (Ncspe----- *),2,0,2,1
16,8,هستند,بودن,Vpyklhs----,0,ROOT,CVCCVCC,2,5,c,(Vpyk-lhs------ *)))))),1,1,1,0
16,9,.,.,Oe,8,PUNC,.,1,1,f,(Oe *))) ,1,0,0,1
