q,WordIndex,wordForm,Lemma,POS,DepRelation,DepType,PhonePattern,SyllableNumber,WordCharacter,POS type (functional/content),ConstituencyParsing,ConstituencyNumberOfNodes,CVCC Count,CVC Count,CV Count
1,1,من,***not found***من***Zrso----
1,2,ساسان,ساسان,Nasp---,3,MWE,CVCVC,2,5,c,(VPC (Nasp------ *),2,0,1,1
1,3,هستم,بودن,Vpyksos----,0,ROOT,CVCCVC,2,4,c,(Vpyk-sos------ *))),1,0,2,0
1,4,.,.,Oe,3,PUNC,.,1,1,f,(Oe *)))) ,1,0,0,1
2,1,من,***not found***من***Zrso----
2,2,و,و,Jr-,7,COORCOMP,CV,1,1,f,(VPC-DiscA (DiscA (Jr------- *)),3,0,0,1
2,3,خانواده-ام,***not found***خانواده-ام***Nasp---
2,4,در,در,E-,2,NMOD,CVC,1,2,f,(PPC (E------- *),2,0,1,0
2,5,خانه,خانه,Ncspk-z,4,POBJ,CVCVV,3,4,c,(NPC (Ncspk---z- *),2,0,0,1
2,6,پدربزرگم,پدربزرگ,Ncsp----1-,7,MWE,CVCVCCVCVCCVC,5,8,c,(NPC (Ncsp------ *),2,0,3,2
2,7,هستیم,بودن,Vpyklos----,0,ROOT,CVCCCVC,2,5,c,(Cez--nsoc *))))),1,1,1,0
2,8,.,.,Oe,7,PUNC,.,1,1,f,(Vpyk-los------ *))))),1,0,0,1
3,1,عمه,عمه,Ncsp---,2,NounCOOR,CVCCV,2,3,c,(ROOT (S (VPSD (VPA-nid-DiscA (DiscA (PPC (Ncsp------ *),7,0,1,1
3,2,و,و,Jr-,7,NSUBJ,CV,1,1,f,(NPC (Jr------- *),2,0,0,1
3,3,عمویم,عمو,Ncsp----1-,2,NounCOOR,CVCVC,3,5,c,(Ncsp------ *)))),1,0,1,1
3,4,هم,هم,J--,2,NMOD,CVC,1,2,f,(VPA-nid (Cez--nsov *),2,0,1,0
3,5,این,***not found***این***Tm-------
3,6,جا,جا,Ncsp---,5,DETCOMP,CV,1,2,c,(DPC-nid (DPC (Tm------- *),3,0,0,1
3,7,هستند,بودن,Vpyklhs----,0,ROOT,CVCCVCC,2,5,c,(Ncsp------ *)))),1,1,1,0
3,8,.,.,Oe,7,PUNC,.,1,1,f,(Vpyk-lhs------ *))))),1,0,0,1
4,1,من,***not found***من***Zrso----
4,2,و,و,Jr-,0,ROOT,CV,1,1,f,(VPC-DiscA (DiscA (Jr------- *)),3,0,0,1
4,3,رامین,رامین,Nasp---,4,MWE,CVCVC,2,5,c,(VPC (DPC (DPC (Nasp------ *),4,0,1,1
4,4,داریم,داشتن,Vpx-losi---,2,NounCOOR,CVCCVC,2,5,c,(Vpx--losi----- *)),1,0,2,0
4,5,نقاشی,نقاشی,Ncsp---,6,MWE,CVCCVCV,3,5,c,(Ncsp------ *)),1,0,1,2
4,6,می-کنیم,***not found***می-کنیم***Vpyslosi---
4,7,.,.,Oe,2,PUNC,.,1,1,f,(Oe *))) ,1,0,0,1
5,1,پسرعمه,پسرعمه,Ncsp---,2,NounCOOR,CVCVCCVCCV,4,6,c,(ROOT (S (NPA (Ncsp------ *),4,0,2,2
5,2,و,و,Jr-,8,NSUBJ,CV,1,1,f,(NPA (Jr------- *),2,0,0,1
5,3,دخترعمویم,دخترعمو,Ncsp----1-,2,NounCOOR,CVCCVCCVCVC,5,9,c,(ADJPA (NUM (Ncsp------ *),3,0,3,1
5,4,دارند,داشتن,Vpyslhs----,8,AUX,CVCVCC,2,5,c,(Cez--nsov *),1,1,0,1
5,5,در,در,E-,8,VMOD,CVC,1,2,f,(Vpys-lhs------ *),1,0,1,0
5,6,حیاط,حیاط,Ncspk--,5,POBJ,CVCVC,2,4,c,(E------- *),1,0,1,1
5,7,بازی,بازی,Ncsp---,8,MWE,CVCV,2,4,c,(Ncspk----- *)),1,0,0,2
5,8,می-کنند,***not found***می-کنند***Vpyslhsi---
5,9,.,.,Oe,8,PUNC,.,1,1,f,(Vpys-lhsi----- *)),1,0,0,1
6,1,پدر,پدر,Ncsp---,2,NounCOOR,CVCVC,2,3,c,(ROOT (S (NPA (Ncsp------ *),4,0,1,1
6,2,و,و,Jr-,4,NSUBJ,CV,1,1,f,(NPA (NUM (Jr------- *),3,0,0,1
6,3,عمویم,عمو,Ncsp----1-,2,NounCOOR,CVCVC,3,5,c,(Ncsp------ *),1,0,1,1
6,4,دارند,داشتن,Vpyslhs----,0,ROOT,CVCVCC,2,5,c,(Cez--nsov *),1,1,0,1
6,5,تلویزیون,تلویزیون,Ncsp---,7,DOBJ,CVCVCVCCVC,4,8,c,(Vpys-lhs------ *),1,0,2,2
6,6,تماشا,تماشا,Ncsp---,7,MWE,CVCVCV,3,5,c,(Ncsp------ *)),1,0,0,3
6,7,می-کنند,***not found***می-کنند***Vpyslhsi---
6,8,.,.,Oe,4,PUNC,.,1,1,f,(Vpys-lhsi----- *)),1,0,0,1
7,1,مادر,مادر,Ncsp---,2,NounCOOR,CVCVC,2,4,c,(ROOT (S (NPA (Ncsp------ *),4,0,1,1
