q,WordIndex,wordForm,Lemma,POS,DepRelation,DepType,PhonePattern,SyllableNumber,WordCharacter,POS type (functional/content),ConstituencyParsing,ConstituencyNumberOfNodes,CVCC Count,CVC Count,CV Count
1,1,دیروز,دیروز,Dgp-t--,8,VMOD,CVCVC,2,5,c,(ROOT (S (VPA (ADV (Dgp-t-- *),5,0,1,1
1,2,صبح,صبح,Ncspt--,8,NSUBJ,CVCC,1,3,c,(Ncspt----- *)),1,1,0,0
1,3,فاطمه,فاطمه,Nasp---,4,NounCOOR,CVCVCV,3,5,c,(VPA (PPC (Nasp------ *),3,0,0,3
1,4,و,و,Jr-,2,NN,CV,1,1,f,(NPC (Jr------- *),2,0,0,1
1,5,خواهرش,خواهر,Ncsp----3-,4,NounCOOR,CVCCVC,3,6,c,(NPC (Ncsp------ *),2,0,2,0
1,6,در,در,E-,8,MWE,CVC,1,2,f,(Cez--nshc *)))),1,0,1,0
1,7,خانه,خانه,Ncspk--,6,POBJ,CVCV,2,4,c,(MV (PPC (E------- *),3,0,0,2
1,8,بودند,بودن,Vpyklht----,0,ROOT,CVCVCC,2,5,c,(Ncspk----- *)),1,1,0,1
1,9,.,.,Oe,8,PUNC,.,1,1,f,(Vpyk-lht------ *)))),1,0,0,1
2,1,ساعت,ساعت,Ncspt-z,9,NSUBJ,CVCVCV,3,4,c,(ROOT (S (CL-nid-DiscA (VPS-DiscA (MN (MN (Ncspt---z- *),7,0,0,3
2,2,هشت,هشت,Urns---,1,NUM,CVCC,1,3,f,(Urns----- *),1,1,0,0
2,3,و,و,Jr-,2,NUMBER,CV,1,1,f,(Jr------- *)),1,0,0,1
2,4,نیم,***not found***نیم***Urns---
2,5,یانگ-هی,***not found***یانگ-هی***Sj---
2,6,به,به,E-,9,MWE,CV,1,2,f,(VPC (DPC (E------- *),3,0,0,1
2,7,خانه,خانه,Ncspk-z,6,POBJ,CVCVV,3,4,c,(PPC (Ncspk---z- *),2,0,0,1
2,8,آنها,***not found***آنها***Zml-----
2,9,رفت,رفتن,Vpyssht----,0,ROOT,CVCC,1,3,c,(Vpys-sht------ *))))),1,1,0,0
2,10,.,.,Oe,9,PUNC,.,1,1,f,(Oe *))) ,1,0,0,1
3,1,یانگ-هی,***not found***یانگ-هی***Nasp---
3,2,و,و,Jr-,10,NSUBJ,CV,1,1,f,(NPA (Jr------- *),2,0,0,1
3,3,فاطمه,فاطمه,Nasp---,2,NounCOOR,CVCVCV,3,5,c,(CPC-adj (Nasp------ *),2,0,0,3
3,4,تا,تا,E-,9,VMOD,CV,1,2,f,(CPC-adj (E------- *),2,0,0,1
3,5,ظهر,ظهر,Ncspt--,4,POBJ,CVCC,1,3,c,(ADJPA (ADJ (Ncspt----- *),3,1,0,0
3,6,برای,برای,Ez,9,VMOD,CVCVCVV,3,4,f,(E------z *),1,0,0,2
3,7,امتحان,امتحان,Ncsp---,6,POBJ,CVCCVCVC,3,6,c,(Ncsp------ *)),1,0,2,1
3,8,درس,درس,Ncsp---,9,MWE,CVCC,1,3,c,(ADJ (Ncsp------ *),2,1,0,0
3,9,خواندند,خواندن,Vpyslht----,10,VerbCOOR,CVCCVCC,2,7,c,(Vpys-lht------ *),1,1,1,0
3,10,و,و,Jr-,0,ROOT,CV,1,1,f,(Jr------- *))))))),1,0,0,1
3,11,با,با,E-,14,IDOBJ,CV,1,2,f,(VPC (PPC (E------- *),3,0,0,1
3,12,هم,***not found***هم***Zc------
3,13,ناهار,ناهار,Ncsp---,14,MWE,CVCVC,2,5,c,(MV (Ncsp------ *),2,0,1,1
3,14,خوردند,خوردن,Vpyslht----,10,VerbCOOR,CVCCVCC,2,6,c,(Vpys-lht------ *)))),1,1,1,0
3,15,.,.,Oe,10,PUNC,.,1,1,f,(Oe *))) ,1,0,0,1
4,1,یانگ-هی,***not found***یانگ-هی***Nasp---
4,2,چلوکباب,چلوکباب,Ncsp--z,1,NN,CVCVCVCVCV,5,7,c,(VPC (DPC (DPC (Ncsp----z- *),4,0,0,5
4,3,ایرانی,ایرانی,Aps-,2,NMOD,CVCVCV,3,6,c,(As--- *)),1,0,0,3
4,4,را,را,P,1,ACC,CV,1,2,f,(P *)),1,0,0,1
4,5,خیلی,***not found***خیلی***Dgps---
4,6,دوست,دوست,Ncsp---,7,MWE,CVCC,1,4,c,(MV (Ncsp------ *),2,1,0,0
4,7,داشت,داشتن,Vpyssht----,0,ROOT,CVCC,1,4,c,(Vpys-sht------ *))))),1,1,0,0
4,8,.,.,Oe,7,PUNC,.,1,1,f,(Oe *))) ,1,0,0,1
