q,WordIndex,wordForm,Lemma,POS,DepRelation,DepType,PhonePattern,SyllableNumber,WordCharacter,POS type (functional/content),ConstituencyParsing,ConstituencyNumberOfNodes,CVCC Count,CVC Count,CV Count
1,1,دانشگاه,دانشگاه,Ncspk-z,5,NSUBJ,CVCVCCVCV,4,7,c,(ROOT (S (NPA (Ncspk---z- *),4,0,1,3
1,2,تهران,تهران,Naspk--,1,POSSESSIVE,CVCCVC,2,5,c,(NPA (Naspk----- *),2,0,2,0
1,3,کتابخانه-های,***not found***کتابخانه-های***Nclp--z
1,4,زیادی,زیاد,Apsy,3,NMOD,CVCVCV,3,5,c,(As-y- *))),1,0,0,3
1,5,دارد,داشتن,Vpysshs----,0,ROOT,CVCVC,2,4,c,(Vpys-shs------ *)),1,0,1,1
1,6,.,.,Oe,5,PUNC,.,1,1,f,(Oe *))) ,1,0,0,1
2,1,این,***not found***این***Tm-------
2,2,کتابخانه-ها,***not found***کتابخانه-ها***Nclp---
2,3,از,از,E-,8,VMOD,CVC,1,2,f,(VPC (NPA-nid-DiscA (NPA-nid (NUM-nid (E------- *)),5,0,1,0
2,4,صبح,صبح,Ncspt--,3,POBJ,CVCC,1,3,c,(Ncspt----- *)),1,1,0,0
2,5,تا,تا,E-,3,POBJ,CV,1,2,f,(DiscA (NUM (E------- *),3,0,0,1
2,6,شب,***not found***شب***Ncspt--
2,7,باز,باز,Aps-,8,MWE,CVC,1,3,c,(MV (As--- *),2,0,1,0
2,8,هستند,بودن,Vpyklhs----,0,ROOT,CVCCVCC,2,5,c,(Vpyk-lhs------ *)))),1,1,1,0
2,9,.,.,Oe,8,PUNC,.,1,1,f,(Oe *))) ,1,0,0,1
3,1,دانشجویان,دانشجو,Nclp---,8,NSUBJ,CVCVCCVC,4,9,c,(ROOT (S (CL (Nclp------ *),4,0,2,1
3,2,هر,***not found***هر***Tf-------
3,3,روز,روز,Ncspt--,2,DETCOMP,CVC,1,3,c,(PPC (Ncspt----- *),2,0,1,0
3,4,چند,چند,Tf-------,8,DETCOMP,CVCC,1,3,f,(DPC (Tf------- *),2,1,0,0
3,5,ساعت,ساعت,Ncspt--,4,DETCOMP,CVCVC,2,4,c,(PPC (Ncspt----- *),2,0,1,1
3,6,به,به,E-,8,MWE,CV,1,2,f,(NPA (E------- *),2,0,0,1
