q,WordIndex,wordForm,Lemma,POS,DepRelation,DepType,PhonePattern,SyllableNumber,WordCharacter,POS type (functional/content),ConstituencyParsing,ConstituencyNumberOfNodes,CVCC Count,CVC Count,CV Count
1,1,هادی,هادی,Nasp---,5,NSUBJ,CVCV,2,4,c,(ROOT(S(VPS(N *),4,0,0,2
1,2,کارمند,کارمند,Ncsp--z,1,NN,CVCCVC,2,6,c,(VPC(NPC(N *),3,0,2,0
1,3,اداره,اداره,Ncspk-z,5,COPCOMP,CVCVCV,3,5,c,(NPC(NPC(N *),3,0,0,3
1,4,پست,پست,Ncsp---,3,NN,CVC,1,3,c,(NPC(N *))),2,0,1,0
1,5,است,بودن,Vpykshs----,0,ROOT,CVC,1,3,c,(V *)),1,0,1,0
1,6,.,.,Oe,5,PUNC,.,1,1,f,(PUNC *)),1,0,0,1
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
2,1,او,او,Zrsh----,6,NSUBJ,CV,1,2,c,(ROOT(S(VPS(PRON *),4,0,0,1
2,2,مردی,مرد,Ncsp--y,6,COPCOMP,CVCCV,2,4,c,(VPC(NPA(N *),3,0,1,1
2,3,آرام,آرام,Aps-,4,AdjCOOR,CVCVC,2,4,c,(COORP(ADJ *),2,0,1,1
2,4,و,و,Jr-,2,NMOD,CV,1,1,f,(COORP(COOR *),2,0,0,1
2,5,دقیق,دقیق,Aps-,4,AdjCOOR,CVCVC,2,4,c,(ADJ *))),1,0,1,1
2,6,است,بودن,Vpykshs----,0,ROOT,CVC,1,3,c,(V *)),1,0,1,0
2,7,.,.,Oe,6,PUNC,.,1,1,f,(PUNC *)),1,0,0,1
,,,,,,,,,,,,,,,
3,1,هادی,هادی,Nasp---,8,NSUBJ,CVCV,2,4,c,(ROOT(S(VPS(N *),4,0,0,2
3,2,شوهری,شوهر,Ncsp--y,1,NN,CVCVCV,3,5,c,(VPC(COORP(NPA(NPA(N *),5,0,0,3
3,3,وفادار,وفادار,Aps-,2,NMOD,CVCVCVC,3,6,c,(ADJ *)),1,0,1,2
3,4,،,،,Oc,1,PUNC,،,1,1,f,(PUNC *)),1,0,0,1
3,5,و,و,Jr-,8,COPCOMP,CV,1,1,f,(COORP(COOR *),2,0,0,1
3,6,پدری,پدر,Ncsp--y,5,NounCOOR,CVCVCVC,3,4,c,(NPA(N *),2,0,1,2
3,7,فداکار,فداکار,Aps-,6,NMOD,CVCVCVC,3,6,c,(ADJ *)),1,0,1,2
3,8,است,بودن,Vpykshs----,0,ROOT,CVC,3,3,c,(V *)),1,0,1,0
3,9,.,.,Oe,8,PUNC,.,1,1,f,(PUNC *)),1,0,0,1
,,,,,,,,,,,,,,,
4,1,نام,نام,Ncsp--z,4,NSUBJ,CVCV,2,3,c,(ROOT(S(VPS(NPC(N *),5,0,0,2
4,2,همسرش,همسر,Ncsp----3-,1,NN,CVCVCVC,3,5,c,(N *)),1,0,1,2
4,3,مریم,مریم,Nasp---,4,MWE,CVCVC,2,4,c,(VPC(N *),2,0,1,1
4,4,است,بودن,Vpykshs----,0,ROOT,CVC,1,3,c,(V *)),1,0,1,0
4,5,.,.,Oe,4,PUNC,.,1,1,f,(PUNC *)),1,0,0,1
,,,,,,,,,,,,,,,
5,1,مریم,مریم,Nasp---,6,NSUBJ,CVCVC,2,4,c,(ROOT(S(VPS(N *),4,0,1,1
5,2,معلم,معلم,Ncsp--z,1,NN,CVCVCCVCV,4,4,c,(VPC(NPC(N *),3,0,1,3
5,3,کلاس,کلاس,Ncspk-z,2,NN,CVCVCV,3,4,c,(NPA(N *)),2,0,0,3
5,4,سوم,سوم,Uoa--z-,3,NUM,CVCVC,2,3,f,(ADJP(NUM *),2,0,1,1
5,5,دبستان,دبستان,Ncspk--,6,MWE,CVCVCCVC,3,6,c,(N *))),1,0,2,1
5,6,است,بودن,Vpykshs----,0,ROOT,CVC,1,3,c,(V *)),1,0,1,0
5,7,.,.,Oe,6,PUNC,.,1,1,f,(PUNC *)),1,0,0,1
,,,,,,,,,,,,,,,
6,1,او,او,Zrsh----,7,NSUBJ,CV,1,2,c,(ROOT(S(VPS(PRON *),4,0,0,1
6,2,مادری,مادر,Ncsp--y,4,NounCOOR,CVCVCV,3,5,c,(VPC(COORP(NPA(N *),4,0,0,3
6,3,دلسوز,دلسوز,Aps-,2,NMOD,CVCCVC,3,5,c,(ADJ *)),1,0,2,0
6,4,و,و,Jr-,7,COPCOMP,CV,1,1,f,(COORP(COOR *),2,0,0,1
6,5,همسری,همسر,Ncsp--y,4,NounCOOR,CVCCVCV,3,5,c,(COORP(NPA(N *),3,0,1,2
6,6,مهربان,مهربان,Aps-,5,NMOD,CVCCVCVC,3,6,c,(ADJ *)))),1,0,2,1
6,7,است,بودن,Vpykshs----,0,ROOT,CVC,1,3,c,(V *)),1,0,1,0
6,8,.,.,Oe,7,PUNC,.,1,1,f,(PUNC *)),1,0,0,1
,,,,,,,,,,,,,,,
7,1,مریم,مریم,Nasp---,2,NounCOOR,CVCVC,2,4,c,(ROOT(S(VPS(COORP(N *),4,0,1,1
7,2,و,و,Jr-,6,NSUBJ,CV,1,1,f,(COORP(COOR *),2,0,0,1
7,3,هادی,هادی,Nasp---,2,NounCOOR,CVCV,2,4,c,(N *))),1,0,0,2
7,4,یک,یک,Urns---,5,NUM,CVC,1,2,f,(VPC(DPC(DET *),3,0,1,0
