مصدر,بسامد,بن ماضی,بسامد,اسم مفعول,بسامد,گذشته ساده ۱ مفرد,بسامد,گذشته ساده ۲ مفرد,بسامد,گذشته ساده ۳ مفرد,بسامد,گذشته ساده ۱ جمع ,بسامد,گذشته ساده ۲ جمع ,بسامد,گذشته ساده ۳ جمع ,بسامد,ماضی استمراری ۱ مفرد,بسامد,ماضی استمراری ۲ مفرد,بسامد,ماضی استمراری ۳ مفرد,بسامد,ماضی استمراری ۱ جمع,بسامد,ماضی استمراری ۲ جمع,بسامد,ماضی استمراری ۳ جمع,بسامد,حال کامل ۱ مفرد ,بسامد,حال کامل ۲ مفرد ,بسامد,حال کامل ۳ مفرد ,بسامد,حال کامل ۱ جمع ,بسامد,حال کامل ۲ جمع ,بسامد,حال کامل ۳ جمع ,بسامد,گذشته استمراری التزامی ۱ مفرد,بسامد,گذشته استمراری التزامی ۲ مفرد,بسامد,گذشته استمراری التزامی ۳ مفرد,بسامد,گذشته استمراری التزامی ۱ جمع,بسامد,گذشته استمراری التزامی ۲ جمع,بسامد,گذشته استمراری التزامی ۳ جمع,بسامد,بن مضارع,بسامد,مضارع ساده ۱ مفرد,بسامد,مضارع ساده ۲ مفرد,بسامد,مضارع ساده ۳ مفرد,بسامد,مضارع ساده ۱ جمع,بسامد,مضارع ساده ۲ جمع,بسامد,مضارع ساده ۳ جمع,بسامد,مضارع اخباری ۱مفرد,بسامد,مضارع اخباری ۲مفرد,بسامد,مضارع اخباری ۳مفرد,بسامد,مضارع اخباری ۱ جمع,بسامد,مضارع اخباری ۲ جمع,بسامد,مضارع اخباری ۳ جمع,بسامد,مضارع التزامی ۱ مفرد,بسامد,مضارع التزامی ۲ مفرد,بسامد,مضارع التزامی ۳ مفرد,بسامد,مضارع التزامی ۱ جمع,بسامد,مضارع التزامی ۲ جمع,بسامد,مضارع التزامی ۳ جمع,بسامد,حال استمراری التزامی ۱ مفرد ,بسامد,حال استمراری التزامی ۲ مفرد ,بسامد,حال استمراری التزامی ۳ مفرد ,بسامد,حال استمراری التزامی ۱ جمع ,بسامد,حال استمراری التزامی ۲ جمع ,بسامد,حال استمراری التزامی ۳ جمع ,بسامد,ماضی نقلی ۱ مفرد,بسامد,ماضی نقلی ۲ مفرد,بسامد,ماضی نقلی ۳ مفرد,بسامد,ماضی نقلی ۱ جمع,بسامد,ماضی نقلی ۲ جمع,بسامد,ماضی نقلی 3 جمع‌اند,بسامد,ماضی بعید ۱ مفرد,بسامد,ماضی بعید ۲ مفرد,بسامد,ماضی بعید ۳ مفرد,بسامد,ماضی بعید ۱ جمع,بسامد,ماضی بعید ۲ جمع,بسامد,ماضی بعید ۳ جمع‌بودند,بسامد,ماضی نقلی استمراری ۱ مفرد,بسامد,ماضی نقلی استمراری ۲ مفرد,بسامد,ماضی نقلی استمراری ۳ مفرد,بسامد,ماضی نقلی استمراری ۱ جمع,بسامد,ماضی نقلی استمراری ۲ جمع,بسامد,ماضی نقلی استمراری ۳ جمع,بسامد,امری,بسامد,ماضی ساده مجمول ۱ مفرد,بسامد,ماضی ساده مجمول ۲ مفرد,بسامد,ماضی ساده مجمول ۳ مفرد,بسامد,ماضی ساده مجمول ۱ جمع,بسامد,ماضی ساده مجمول ۲ جمع,بسامد,ماضی ساده مجمول ۳ جمع,بسامد,ماضی استمراری مجمول ۱ مفرد,بسامد,ماضی استمراری مجمول ۲ مفرد,بسامد,ماضی استمراری مجمول ۳ مفرد,بسامد,ماضی استمراری مجمول ۱ جمع,بسامد,ماضی استمراری مجمول ۲ جمع,بسامد,ماضی استمراری مجمول ۳ جمع,بسامد
آچاردن,0,آچارد,0,آچارده,0,آچاردم,0,آچاردی,0,آچارد,0,آچاردیم,0,آچاردید,0,آچاردند,0,می‌آچاردم,0,می‌آچاردیم,0,می‌آچارد,0,می‌آچاردیم,0,می‌آچاردید,0,می‌آچاردند,0,آچارده‌باشم,0,اچارده‌باشی,0,آچارده‌باش,0,آچارده‌باشیم,0,آچارده‌باشید,0,آچارده‌باشند,0,داشتم‌می‌آچاردم,0,داشتی‌می‌آچاردی,0,داشت‌می‌آچارد,0,داشتیم‌می‌آچاردیم,0,داشتید‌می‌آچاردید,0,داشتند‌می‌آچاردند,0,آچار,362,آچارم,0,آچاری,14,آچارد,0,آچاریم,0,آچارید,0,آچارند,0,می‌آچارم,0,می‌آچاری,0,می‌آچارد,0,می‌آچاریم,0,می‌آچارید,0,می‌آچارند,0,بیاچارم,0,بیاچاری,0,بیاچارد,0,بیاچاریم,0,بیاچارید,0,بیاچارند,0,دارم‌می‌آچارم,0,داری‌می‌آچاری,0,دارد‌می‌آچارد,0,داریم‌می‌آچاریم,0,دارید‌می‌آچارید,0,دارند‌می‌آچارند,0,آچارده‌ام,0,آچارده‌ای,0,آچارده‌است,0,آچارده‌ایم,0,آچارده‌اید,0,آچارده‌اند,0,آچارده‌بودم,0,آچارده‌بودی,0,آچارده‌بود,0,آچارده‌بودیم,0,آچارده‌بودید,0,آچارده‌بودند,0,‌می‌آچارده‌ام,0,‌می‌آچارده‌ای,0,‌می‌آچارده‌است,0,‌می‌آچارده‌ایم,0,‌می‌آچارده‌اید,0,‌می‌آچارده‌اند,0,بیاچار,0,آچارده‌شدم,0,آچارده‌شدی,0,آچارده‌شد,0,آچارده‌شدیم,0,آچارده‌شدید,0,آچارده‌شدند,0,آچارده‌می‌شدم,0,آچارده‌می‌شدی,0,آچارده‌می‌شد,0,آچارده‌می‌شدیم,0,آچارده‌می‌شدید,0,آچارده‌می‌شدند,0,
اختن,0,اخت,269,اخته,225,اختم,3,اختی,107,اخت,269,اختیم,0,اختید,0,اختند,3,می‌اختم,0,می‌اختی,0,می‌اخت,0,می‌اختیم,0,می‌اختید,0,می‌اختند,0,اخته‌باشم,0,اخته‌باشی,0,اخته‌باش,0,اخته‌باشیم,0,اخته‌باشید,0,اخته‌باشند,0,داشتم‌می‌اختم,0,داشتی‌می‌اختی,0,داشت‌می‌اخت,0,داشتیم‌می‌اختیم,0,داشتید‌می‌اختید,0,داشتند‌می‌اختند,0,اخت,269,اختم,3,اختی,107,اختد,0,اختیم,0,اختید,0,اختند,3,می‌اختم,0,می‌اختی,0,می‌اختد,0,می‌اختیم,0,می‌اختید,0,می‌اختند,0,بیختم,0,بیختی,4,بیختد,0,بیختیم,2,بیختید,0,بیختند,4,دارم‌می‌اختم,0,داری‌می‌اختی,0,دارد‌می‌اختد,0,داریم‌می‌اختیم,0,دارید‌می‌اختید,0,دارند‌می‌اختند,0,اخته‌ام,0,اخته‌ای,0,اخته‌است,4,اخته‌ایم,0,اخته‌اید,0,اخته‌اند,0,اخته‌بودم,0,اخته‌بودی,0,اخته‌بود,1,اخته‌بودیم,0,اخته‌بودید,0,اخته‌بودند,0,‌می‌اخته‌ام,0,‌می‌اخته‌ای,0,‌می‌اخته‌است,0,‌می‌اخته‌ایم,0,‌می‌اخته‌اید,0,‌می‌اخته‌اند,0,بیاخت,0,اخته‌شدم,0,اخته‌شدی,0,اخته‌شد,0,اخته‌شدیم,0,اخته‌شدید,0,اخته‌شدند,1,اخته‌می‌شدم,0,اخته‌می‌شدی,0,اخته‌می‌شد,0,اخته‌می‌شدیم,0,اخته‌می‌شدید,0,اخته‌می‌شدند,0,
آراستن,363,آراست,215,آراسته,3137,آراستم,13,آراستی,14,آراست,215,آراستیم,8,آراستید,1,آراستند,96,می‌آراستم,1,می‌آراستی,1,می‌آراست,10,می‌آراستیم,1,می‌آراستید,0,می‌آراستند,26,آراسته‌باشم,0,آراسته‌باشی,0,آراسته‌باش,0,آراسته‌باشیم,0,آراسته‌باشید,0,آراسته‌باشند,15,داشتم‌می‌آراستم,0,داشتی‌می‌آراستی,0,داشت‌می‌آراست,0,داشتیم‌می‌آراستیم,0,داشتید‌می‌آراستید,0,داشتند‌می‌آراستند,0,آرای,22334,آرایم,6,آرایی,4048,آراید,51,آراییم,3,آرایید,2,آرایند,43,می‌آرایم,1,می‌آرایی,2,می‌آراید,39,می‌آراییم,3,می‌آرایید,1,می‌آرایند,39,بیارایم,8,بیارایی,6,بیاراید,107,بیاراییم,37,بیارایید,51,بیارایند,95,دارم‌می‌آرایم,0,داری‌می‌آرایی,0,دارد‌می‌آراید,0,داریم‌می‌آراییم,0,دارید‌می‌آرایید,0,دارند‌می‌آرایند,0,آراسته‌ام,0,آراسته‌ای,0,آراسته‌است,101,آراسته‌ایم,0,آراسته‌اید,0,آراسته‌اند,1,آراسته‌بودم,2,آراسته‌بودی,1,آراسته‌بود,139,آراسته‌بودیم,0,آراسته‌بودید,1,آراسته‌بودند,65,‌می‌آراسته‌ام,0,‌می‌آراسته‌ای,0,‌می‌آراسته‌است,0,‌می‌آراسته‌ایم,0,‌می‌آراسته‌اید,0,‌می‌آراسته‌اند,0,بیارای,37,آراسته‌شدم,0,آراسته‌شدی,0,آراسته‌شد,70,آراسته‌شدیم,0,آراسته‌شدید,0,آراسته‌شدند,6,آراسته‌می‌شدم,0,آراسته‌می‌شدی,0,آراسته‌می‌شد,0,آراسته‌می‌شدیم,0,آراسته‌می‌شدید,0,آراسته‌می‌شدند,0,
آرامیدن,9,آرامید,31,آرامیده,7,آرامیدم,0,آرامیدی,0,آرامید,31,آرامیدیم,0,آرامیدید,0,آرامیدند,0,می‌آرامیدم,0,می‌آرامیدی,0,می‌آرامید,0,می‌آرامیدیم,0,می‌آرامیدید,0,می‌آرامیدند,0,آرامیده‌باشم,0,آرامیده‌باشی,0,آرامیده‌باش,0,آرامیده‌باشیم,0,آرامیده‌باشید,0,آرامیده‌باشند,0,داشتم‌می‌آرامیدم,0,داشتی‌می‌آرامیدی,0,داشت‌می‌آرامید,0,داشتیم‌می‌آرامیدیم,0,داشتید‌می‌آرامیدید,0,داشتند‌می‌آرامیدند,0,آرام,51595,آرامم,85,آرامی,9928,آرامد,3,آرامیم,9,آرامید,31,آرامند,31,می‌آرامم,0,می‌آرامی,0,می‌آرامد,2,می‌آرامیم,1,می‌آرامید,0,می‌آرامند,2,بیارامم,6,بیارامی,1,بیارامد,26,بیارامیم,1,بیارامید,3,بیارامند,23,دارم‌می‌آرامم,0,داری‌می‌آرامی,0,دارد‌می‌آرامد,0,داریم‌می‌آرامیم,0,دارید‌می‌آرامید,0,دارند‌می‌آرامند,0,آرامیده‌ام,0,آرامیده‌ای,0,آرامیده‌است,3,آرامیده‌ایم,0,آرامیده‌اید,0,آرامیده‌اند,0,آرامیده‌بودم,0,آرامیده‌بودی,0,آرامیده‌بود,0,آرامیده‌بودیم,0,آرامیده‌بودید,0,آرامیده‌بودند,0,‌می‌آرامیده‌ام,0,‌می‌آرامیده‌ای,0,‌می‌آرامیده‌است,0,‌می‌آرامیده‌ایم,0,‌می‌آرامیده‌اید,0,‌می‌آرامیده‌اند,0,بیارام,9,آرامیده‌شدم,0,آرامیده‌شدی,0,آرامیده‌شد,0,آرامیده‌شدیم,0,آرامیده‌شدید,0,آرامیده‌شدند,0,آرامیده‌می‌شدم,0,آرامیده‌می‌شدی,0,آرامیده‌می‌شد,0,آرامیده‌می‌شدیم,0,آرامیده‌می‌شدید,0,آرامیده‌می‌شدند,0,
ارزیدن,7,ارزید,90,ارزیده,8,ارزیدم,3,ارزیدی,0,ارزید,90,ارزیدیم,0,ارزیدید,0,ارزیدند,5,می‌ارزیدم,0,می‌ارزیدی,0,می‌ارزید,80,می‌ارزیدیم,0,می‌ارزیدید,0,می‌ارزیدند,5,ارزیده‌باشم,0,ارزیده‌باشی,0,ارزیده‌باش,0,ارزیده‌باشیم,0,ارزیده‌باشید,0,ارزیده‌باشند,0,داشتم‌می‌ارزیدم,0,داشتی‌می‌ارزیدی,0,داشت‌می‌ارزید,0,داشتیم‌می‌ارزیدیم,0,داشتید‌می‌ارزیدید,0,داشتند‌می‌ارزیدند,0,ارز,39395,ارزم,4,ارزی,34925,ارزد,446,ارزیم,1,ارزید,90,ارزند,23,می‌ارزم,3,می‌ارزی,0,می‌ارزد,362,می‌ارزیم,0,می‌ارزید,80,می‌ارزند,11,بیرزم,0,بیرزی,1,بیرزد,36,بیرزیم,0,بیرزید,0,بیرزند,3,دارم‌می‌ارزم,0,داری‌می‌ارزی,0,دارد‌می‌ارزد,0,داریم‌می‌ارزیم,0,دارید‌می‌ارزید,0,دارند‌می‌ارزند,0,ارزیده‌ام,0,ارزیده‌ای,0,ارزیده‌است,1,ارزیده‌ایم,0,ارزیده‌اید,0,ارزیده‌اند,0,ارزیده‌بودم,0,ارزیده‌بودی,0,ارزیده‌بود,0,ارزیده‌بودیم,0,ارزیده‌بودید,0,ارزیده‌بودند,0,‌می‌ارزیده‌ام,0,‌می‌ارزیده‌ای,0,‌می‌ارزیده‌است,0,‌می‌ارزیده‌ایم,0,‌می‌ارزیده‌اید,0,‌می‌ارزیده‌اند,0,بیارز,1,ارزیده‌شدم,0,ارزیده‌شدی,0,ارزیده‌شد,0,ارزیده‌شدیم,0,ارزیده‌شدید,0,ارزیده‌شدند,0,ارزیده‌می‌شدم,0,ارزیده‌می‌شدی,0,ارزیده‌می‌شد,0,ارزیده‌می‌شدیم,0,ارزیده‌می‌شدید,0,ارزیده‌می‌شدند,0,
آرمیدن,72,آرمید,100,آرمیده,691,آرمیدم,4,آرمیدی,6,آرمید,100,آرمیدیم,4,آرمیدید,0,آرمیدند,30,می‌آرمیدم,0,می‌آرمیدی,1,می‌آرمید,0,می‌آرمیدیم,1,می‌آرمیدید,0,می‌آرمیدند,1,آرمیده‌باشم,0,آرمیده‌باشی,1,آرمیده‌باش,0,آرمیده‌باشیم,0,آرمیده‌باشید,0,آرمیده‌باشند,4,داشتم‌می‌آرمیدم,0,داشتی‌می‌آرمیدی,0,داشت‌می‌آرمید,0,داشتیم‌می‌آرمیدیم,0,داشتید‌می‌آرمیدید,0,داشتند‌می‌آرمیدند,0,آرام,51595,آرامم,85,آرامی,9928,آرامد,3,آرامیم,9,آرامید,31,آرامند,31,می‌آرامم,0,می‌آرامی,0,می‌آرامد,2,می‌آرامیم,1,می‌آرامید,0,می‌آرامند,2,بیارامم,6,بیارامی,1,بیارامد,26,بیارامیم,1,بیارامید,3,بیارامند,23,دارم‌می‌آرامم,0,داری‌می‌آرامی,0,دارد‌می‌آرامد,0,داریم‌می‌آرامیم,0,دارید‌می‌آرامید,0,دارند‌می‌آرامند,0,آرمیده‌ام,0,آرمیده‌ای,0,آرمیده‌است,207,آرمیده‌ایم,0,آرمیده‌اید,0,آرمیده‌اند,1,آرمیده‌بودم,10,آرمیده‌بودی,0,آرمیده‌بود,127,آرمیده‌بودیم,0,آرمیده‌بودید,1,آرمیده‌بودند,41,‌می‌آرمیده‌ام,0,‌می‌آرمیده‌ای,0,‌می‌آرمیده‌است,0,‌می‌آرمیده‌ایم,0,‌می‌آرمیده‌اید,0,‌می‌آرمیده‌اند,0,بیارام,9,آرمیده‌شدم,0,آرمیده‌شدی,0,آرمیده‌شد,1,آرمیده‌شدیم,0,آرمیده‌شدید,0,آرمیده‌شدند,0,آرمیده‌می‌شدم,0,آرمیده‌می‌شدی,0,آرمیده‌می‌شد,0,آرمیده‌می‌شدیم,0,آرمیده‌می‌شدید,0,آرمیده‌می‌شدند,0,
آزردن,142,آزرد,226,آزرده,2218,آزردم,7,آزردی,9,آزرد,226,آزردیم,1,آزردید,4,آزردند,31,می‌آزردم,0,می‌آزردی,0,می‌آزرد,70,می‌آزردیم,0,می‌آزردید,0,می‌آزردند,2,آزرده‌باشم,1,آزرده‌باشی,0,آزرده‌باش,1,آزرده‌باشیم,0,آزرده‌باشید,0,آزرده‌باشند,1,داشتم‌می‌آزردم,0,داشتی‌می‌آزردی,0,داشت‌می‌آزرد,0,داشتیم‌می‌آزردیم,0,داشتید‌می‌آزردید,0,داشتند‌می‌آزردند,0,آزار,17325,آزارم,467,آزاری,4305,آزارد,223,آزاریم,5,آزارید,3,آزارند,20,می‌آزارم,2,می‌آزاری,0,می‌آزارد,198,می‌آزاریم,2,می‌آزارید,1,می‌آزارند,12,بیازارم,10,بیازاری,15,بیازارد,131,بیازاریم,6,بیازارید,5,بیازارند,26,دارم‌می‌آزارم,0,داری‌می‌آزاری,0,دارد‌می‌آزارد,0,داریم‌می‌آزاریم,0,دارید‌می‌آزارید,0,دارند‌می‌آزارند,0,آزرده‌ام,0,آزرده‌ای,0,آزرده‌است,94,آزرده‌ایم,0,آزرده‌اید,0,آزرده‌اند,0,آزرده‌بودم,11,آزرده‌بودی,0,آزرده‌بود,67,آزرده‌بودیم,0,آزرده‌بودید,0,آزرده‌بودند,18,‌می‌آزرده‌ام,0,‌می‌آزرده‌ای,0,‌می‌آزرده‌است,0,‌می‌آزرده‌ایم,0,‌می‌آزرده‌اید,0,‌می‌آزرده‌اند,0,بیازار,2,آزرده‌شدم,12,آزرده‌شدی,1,آزرده‌شد,37,آزرده‌شدیم,2,آزرده‌شدید,1,آزرده‌شدند,8,آزرده‌می‌شدم,0,آزرده‌می‌شدی,0,آزرده‌می‌شد,0,آزرده‌می‌شدیم,0,آزرده‌می‌شدید,0,آزرده‌می‌شدند,0,
آزماییدن,1,آزمایید,0,آزماییده,0,آزماییدم,0,آزماییدی,0,آزمایید,0,آزماییدیم,0,آزماییدید,0,آزماییدند,0,می‌آزماییدم,0,می‌آزماییدی,0,می‌آزمایید,0,می‌آزماییم,10,می‌آزماییدید,0,می‌آزماییدند,0,آزماییده‌باشم,0,آزماییده‌باشی,0,آزماییده‌باش,0,آزماییده‌باشیم,0,آزماییده‌باشید,0,آزماییده‌باشند,0,داشتم‌می‌آزماییدم,0,داشتی‌می‌آزماییدی,0,داشت‌می‌آزمایید,0,داشتیم‌می‌آزماییدیم,0,داشتید‌می‌آزماییدید,0,داشتند‌می‌آزماییدند,0,آزمای,24,آزمایم,3,آزمایی,1291,آزماید,76,آزماییم,11,آزمایید,0,آزمایند,37,می‌آزمایم,3,می‌آزمایی,0,می‌آزماید,73,می‌آزماییم,10,می‌آزمایید,0,می‌آزمایند,33,بیازمایم,27,بیازمایی,4,بیازماید,465,بیازماییم,101,بیازمایید,60,بیازمایند,289,دارم‌می‌آزمایم,0,داری‌می‌آزمایی,0,دارد‌می‌آزماید,0,داریم‌می‌آزماییم,0,دارید‌می‌آزمایید,0,دارند‌می‌آزمایند,0,آزماییده‌ام,0,آزماییده‌ای,0,آزماییده‌است,0,آزماییده‌ایم,0,آزماییده‌اید,0,آزماییده‌اند,0,آزماییده‌بودم,0,آزماییده‌بودی,0,آزماییده‌بود,0,آزماییده‌بودیم,0,آزماییده‌بودید,0,آزماییده‌بودند,0,‌می‌آزماییده‌ام,0,‌می‌آزماییده‌ای,0,‌می‌آزماییده‌است,0,‌می‌آزماییده‌ایم,0,‌می‌آزماییده‌اید,0,‌می‌آزماییده‌اند,0,بیازمای,13,آزماییده‌شدم,0,آزماییده‌شدی,0,آزماییده‌شد,0,آزماییده‌شدیم,0,آزماییده‌شدید,0,آزماییده‌شدند,0,آزماییده‌می‌شدم,0,آزماییده‌می‌شدی,0,آزماییده‌می‌شد,0,آزماییده‌می‌شدیم,0,آزماییده‌می‌شدید,0,آزماییده‌می‌شدند,0,
آزمودن,877,آزمود,323,آزموده,1487,آزمودم,27,آزمودی,3,آزمود,323,آزمودیم,41,آزمودید,4,آزمودند,95,می‌آزمودم,1,می‌ازمودی,0,می‌آزمود,9,می‌آزمودیم,1,می‌آزمودید,0,می‌آزمودند,5,آزموده‌باشم,0,آزموده‌باشی,0,آزموده‌باش,0,آزموده‌باشیم,0,آزموده‌باشید,0,آزموده‌باشند,3,داشتم‌می‌آزمودم,0,داشتی‌می‌آزمودی,0,داشت‌می‌آزمود,0,داشتیم‌می‌آزمودیم,0,داشتید‌می‌آزمودید,0,داشتند‌می‌آزمودند,0,آزمای,24,آزمایم,3,آزمایی,1291,آزماید,76,آزماییم,11,آزمایید,0,آزمایند,37,می‌آزمایم,3,می‌آزمایی,0,می‌آزماید,73,می‌آزماییم,10,می‌آزمایید,0,می‌آزمایند,33,بیازمایم,27,بیازمایی,4,بیازماید,465,بیازماییم,101,بیازمایید,60,بیازمایند,289,دارم‌می‌آزمایم,0,داری‌می‌آزمایی,0,دارد‌می‌آزماید,0,داریم‌می‌آزماییم,0,دارید‌می‌آزمایید,0,دارند‌می‌آزمایند,0,آزموده‌ام,0,آزموده‌ای,0,آزموده‌است,85,آزموده‌ایم,0,آزموده‌اید,0,آزموده‌اند,0,آزموده‌بودم,4,آزموده‌بودی,0,آزموده‌بود,66,آزموده‌بودیم,3,آزموده‌بودید,1,آزموده‌بودند,25,‌می‌آزموده‌ام,0,‌می‌آزموده‌ای,0,‌می‌آزموده‌است,0,‌می‌آزموده‌ایم,0,‌می‌آزموده‌اید,0,‌می‌آزموده‌اند,0,بیازمای,13,آزموده‌شدم,0,آزموده‌شدی,0,آزموده‌شد,29,آزموده‌شدیم,0,آزموده‌شدید,0,آزموده‌شدند,4,آزموده‌می‌شدم,0,آزموده‌می‌شدی,0,آزموده‌می‌شد,0,آزموده‌می‌شدیم,0,آزموده‌می‌شدید,0,آزموده‌می‌شدند,0,
آژندن,0,آژند,188,آژنده,1,آژندم,0,آژندی,0,آژند,188,آژندیم,0,آژندید,0,آژندند,0,می‌آژندم,0,می‌آژندی,0,می‌آژند,0,می‌آژندیم,0,می‌آژندید,0,می‌آژندند,0,آژنده‌باشم,0,آژنده‌باشی,0,آژنده‌باش,0,آژنده‌باشیم,0,آژنده‌باشید,0,آژنده‌باشند,0,داشتم‌می‌آژندم,0,داشتی‌می‌آژندی,0,داشت‌می‌آژند,0,داشتیم‌می‌آژندیم,0,داشتید‌می‌آژندید,0,داشتند‌می‌اژندند,0,آژند,188,آژندم,0,آژندی,0,آژندد,0,آژندیم,0,آژندید,0,آژندند,0,می‌آژندم,0,می‌آژندی,0,می‌آژندد,0,می‌آژندیم,0,می‌آژندید,0,می‌آژندند,0,بیاژندم,0,بیاژندی,0,بیاژندد,0,بیاژندیم,0,بیاژندید,0,بیاژندند,0,دارم‌می‌آژندم,0,داری‌می‌آژندی,0,دارد‌می‌آژندد,0,داریم‌می‌آژندیم,0,دارید‌می‌آژندید,0,دارند‌می‌آژندند,0,آژنده‌ام,0,آژنده‌ای,0,آژنده‌است,0,آژنده‌ایم,0,آژنده‌اید,0,آژنده‌اند,0,آژنده‌بودم,0,آژنده‌بودی,0,آژنده‌بود,0,آژنده‌بودیم,0,آژنده‌بودید,0,آژنده‌بودند,0,‌می‌آژنده‌ام,0,‌می‌آژنده‌ای,0,‌می‌آژنده‌است,0,‌می‌آژنده‌ایم,0,‌می‌آژنده‌اید,0,‌می‌آژنده‌اند,0,بیاژند,0,آژنده‌شدم,0,آژنده‌شدی,0,آژنده‌شد,0,آژنده‌شدیم,0,آژنده‌شدید,0,آژنده‌شدند,0,آژنده‌می‌شدم,0,آژنده‌می‌شدی,0,آژنده‌می‌شد,0,آژنده‌می‌شدیم,0,آژنده‌می‌شدید,0,آژنده‌می‌شدند,0,
